value,unit,year,source,dqi
27,kg CO2e,2019,https://www.ademe.fr/sites/default/files/assets/documents/poids_carbone-biens-equipement-201809-rapport.pdf,10
33,kg CO2e,2019,https://www.ademe.fr/sites/default/files/assets/documents/poids_carbone-biens-equipement-201809-rapport.pdf,10
39,kg CO2e,2019,https://www.ademe.fr/sites/default/files/assets/documents/poids_carbone-biens-equipement-201809-rapport.pdf,10
49.8,kg CO2e,2016,https://www.ericsson.com/en/reports-and-papers/research-papers/life-cycle-assessment-of-a-smartphone,10
65.25,kg CO2e,2014,http://www.apple.com/environment/reports/docs/iPhone5s_product_environmental_report_sept2013.pdf,7
46.2,kg CO2e,2014,http://www.apple.com/environment/reports/docs/iPhone5c_product_environmental_report_sept2013.pdf,7
83.6,kg CO2e,2014,https://www.apple.com/environment/reports/docs/iPhone6_PER_Sept2014.pdf,7
93.5,kg CO2e,2014,https://www.apple.com/environment/reports/docs/iPhone6Plus_PER_Sept2014.pdf,7
45.3,kg CO2e,2016,https://www.apple.com/environment/pdf/products/iphone/iPhone_7_PER_sept2016.pdf,9
54.2,kg CO2e,2017,https://www.apple.com/environment/pdf/products/iphone/iPhone_7_Plus_PER_sept2017.pdf,9
47.3,kg CO2e,2017,https://www.apple.com/environment/pdf/products/iphone/iPhone_8_PER_sept2017.pdf,9
39.1,kg CO2e,2017,https://www.apple.com/environment/pdf/products/iphone/iPhone_SE_PER_sept2017.pdf,9
64.7,kg CO2e,2017,https://images.apple.com/environment/pdf/products/iphone/iPhone_X_PER_sept2017.pdf,9
57.9,kg CO2e,2016,https://consumer.huawei.com/en/support/product-environmental-information/,7
49.4,kg CO2e,2016,https://consumer.huawei.com/en/support/product-environmental-information/,7
49.3,kg CO2e,2017,https://consumer.huawei.com/en/support/product-environmental-information/,8
66.5,kg CO2e,2017,https://consumer.huawei.com/en/support/product-environmental-information/,8
66.5,kg CO2e,2017,https://consumer.huawei.com/en/support/product-environmental-information/,8
65.4,kg CO2e,2018,https://consumer.huawei.com/en/support/product-environmental-information/,9
74.9,kg CO2e,2018,https://consumer.huawei.com/en/support/product-environmental-information/,9
60.37771,kg CO2e,2018,https://consumer.huawei.com/en/support/product-environmental-information/,10
67.015836,kg CO2e,2018,https://consumer.huawei.com/en/support/product-environmental-information/,10
40.4,kg CO2e,2013,http://kth.diva-portal.org/smash/get/diva2:677729/FULLTEXT01.pdf,9
32.794,kg CO2e,2020,https://www.fairphone.com/wp-content/uploads/2020/07/Fairphone_3_LCA.pdf,10
38.98,kg CO2e,2016,https://www.fairphone.com/wp-content/uploads/2016/11/Fairphone_2_LCA_Final_20161122.pdf,9
68.7,kg CO2e,2019,https://publications.jrc.ec.europa.eu/repository/bitstream/JRC116106/jrc116106_jrc_e4c_task2_smartphones_final_publ_id.pdf,10
82.9917,kg CO2e,2020,https://jyx.jyu.fi/bitstream/handle/123456789/71853/1/URN%3ANBN%3Afi%3Ajyu-202009235937.pdf,11
88.5,kg CO2 eq,2022,https://www.arcep.fr/uploads/tx_gspublication/etude-numerique-environnement-ademe-arcep-volet02_janv2022.pdf,10
