timestamp,compose-post-service,home-timeline-redis,home-timeline-service,jaeger,media-frontend,media-memcached,media-mongodb,media-service,nginx-thrift,post-storage-memcached,post-storage-mongodb,post-storage-service,social-graph-mongodb,social-graph-redis,social-graph-service,text-service,unique-id-service,url-shorten-memcached,url-shorten-mongodb,url-shorten-service,user-memcached,user-mention-service,user-mongodb,user-service,user-timeline-mongodb,user-timeline-redis,user-timeline-service
1727210400,9535488,3006464,3239936,46522368,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64126976,2760704,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96186368,4231168,98713600,25456640,5980160
1727210430,9535488,2744320,3239936,46522368,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64389120,2760704,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96186368,4231168,98713600,25456640,5980160
1727210460,9535488,3006464,3239936,46522368,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64131072,3022848,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96186368,4231168,98713600,25456640,5980160
1727210490,9535488,2744320,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64126976,2760704,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96182272,4231168,98975744,25194496,5980160
1727210520,9535488,3006464,3239936,45998080,21426176,1867776,60502016,3497984,48914432,1658880,110505984,5980160,64126976,3022848,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96182272,4231168,98713600,25194496,5980160
1727210550,9535488,2744320,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64126976,2760704,3055616,6135808,4259840,1662976,85856256,6017024,1798144,2854912,96186368,4231168,98713600,25194496,5980160
1727210580,9535488,3006464,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110768128,5976064,64126976,2760704,3055616,6135808,4259840,1662976,85856256,6017024,1798144,2854912,96169984,4231168,98713600,25456640,5980160
1727210610,9535488,2744320,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64126976,3022848,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96174080,4231168,98713600,25456640,5980160
1727210640,9535488,3006464,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110505984,5976064,64126976,2760704,3055616,6135808,4259840,1662976,85856256,6017024,1798144,2854912,96174080,4231168,98713600,25456640,5980160
1727210670,9535488,3006464,3239936,45998080,21426176,1867776,60239872,3497984,48914432,1658880,110510080,5976064,64385024,2760704,3055616,6135808,4259840,1662976,85594112,6017024,1798144,2854912,96169984,4231168,98717696,25194496,5980160
