timestamp,certificates,gitaly,gitlab-exporter,gitlab-shell,gitlab-workhorse,kas,metrics,minio,postgresql,prometheus-server,prometheus-server-configmap-reload,redis,registry,sidekiq,toolbox,webservice,dependencies,configure
1727780400,,235339776,31735808,17891328,42741760,80539648,14639104,10301440,247558144,1823752192,4325376,57548800,27168768,1585688576,1191936,6267252736,,
1727780430,,234557440,32026624,17547264,42749952,80285696,13008896,10301440,280104960,2809516032,4317184,56729600,27176960,1600094208,1191936,6267252736,,
1727780460,,234557440,32026624,17547264,42762240,80277504,13008896,10301440,292364288,1831206912,4317184,56745984,27181056,2129760256,1191936,6274699264,,
1727780490,,234291200,32137216,17551360,42737664,80277504,13819904,10301440,277405696,2002341888,4325376,56745984,27181056,2858311680,1191936,6286311424,,
1727780520,,234291200,32137216,17563648,42741760,80285696,14528512,10301440,277397504,2002321408,4325376,57638912,27447296,2843361280,1191936,6271713280,,
1727780550,,234295296,32038912,17608704,42737664,79818752,14528512,10301440,320389120,2010898432,4317184,57294848,27467776,2836209664,1191936,6296522752,,
1727780580,,234553344,31739904,18427904,42737664,79880192,14712832,10301440,321077248,2010898432,4317184,57683968,27471872,2877378560,1191936,6262677504,,
1727780610,,234553344,31739904,18378752,42741760,79618048,14712832,10301440,324841472,2010914816,4325376,57683968,27545600,2895933440,1191936,6262759424,,
1727780640,,234307584,31735808,18378752,42741760,79613952,14774272,10301440,324706304,1701793792,4325376,57991168,27545600,2883444736,1191936,6262243328,,
1727780670,,234557440,32030720,18083840,42823680,80793600,14770176,10305536,324706304,1717673984,4325376,57786368,27578368,2888843264,1191936,6274666496,,
1727780700,,234807296,31731712,17879040,42819584,80793600,14770176,10301440,333983744,1718878208,4321280,57737216,27582464,2862936064,1191936,6270218240,,
1727780730,,234717184,31731712,18350080,42819584,80035840,14745600,10301440,336805888,1385857024,4321280,57823232,27582464,2902347776,1191936,6282752000,,
1727780760,,235184128,32026624,18325504,42831872,80089088,14905344,10301440,304361472,1385857024,4321280,57978880,27332608,2870185984,1191936,6278352896,,
1727780790,,234786816,31735808,18518016,42856448,80089088,14905344,10301440,308936704,1389105152,4321280,57978880,27332608,2894090240,1191936,6265466880,,
1727780820,,234815488,31735808,18427904,42823680,80072704,14405632,10301440,308936704,1401118720,4321280,57692160,27324416,2872729600,1191936,6264496128,,
1727780850,,234815488,32030720,19288064,42831872,80199680,14405632,10301440,314912768,1369894912,4321280,58421248,27340800,2896105472,1191936,6277857280,,
1727780880,,234774528,31731712,18960384,42823680,79622144,13963264,10301440,314912768,1369894912,4321280,57155584,27148288,2896105472,1191936,6244569088,,
1727780910,,234774528,32071680,18518016,42831872,79626240,13942784,10301440,253181952,1372241920,4321280,57167872,27160576,2900025344,1191936,6266908672,,
1727780940,,234246144,31731712,17907712,42831872,79613952,13295616,10301440,253181952,1372241920,4325376,56979456,27168768,3416092672,1191936,6253027328,,
1727780970,,233181184,32079872,17903616,42868736,79613952,13299712,10301440,265482240,1371955200,4325376,57028608,27164672,4134735872,1191936,6263808000,,
1727781000,,233463808,31744000,18677760,42864640,79630336,13541376,10301440,255098880,1384804352,4325376,57114624,27348992,4120858624,1191936,6250696704,,
1727781030,,233463808,32026624,18378752,42831872,79609856,13545472,10301440,302837760,1395269632,4321280,58806272,27320320,4154671104,1191936,6236135424,,
1727781060,,233336832,31830016,18378752,42827776,79622144,14401536,10301440,302837760,1426579456,4321280,58806272,27324416,4175839232,1191936,6243753984,,
1727781090,,233336832,31830016,18116608,42827776,79626240,14401536,10301440,302870528,1428463616,4321280,58290176,27324416,4184293376,1191936,6260584448,,
1727781120,,233046016,32022528,17854464,42967040,79880192,14565376,10235904,307277824,1430355968,4321280,58290176,27389952,2872332288,1191936,6233247744,,
1727781150,,233058304,32022528,18694144,42967040,79618048,14577664,10235904,307933184,1430392832,4321280,57974784,27394048,2893283328,1191936,6245707776,,
1727781180,,234496000,31731712,18247680,42962944,79626240,14577664,10235904,308178944,1430392832,4321280,57688064,27394048,2913488896,1191936,6246195200,,
1727781210,,233971712,32030720,18149376,42971136,79622144,13590528,10235904,308178944,1351168000,4317184,57729024,27389952,2911834112,1191936,6256852992,,
