"Time","gitaly","gitlab-exporter","gitlab-shell","kas","migrations","minio","registry","sidekiq","toolbox","webservice","postgresql"
1713353880000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713353910000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713353940000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713353970000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354000000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354030000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354060000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354090000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354120000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354150000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354180000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354210000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354240000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354270000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354300000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354330000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354360000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354390000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354420000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354450000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354480000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354510000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354540000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354570000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354600000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354630000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354660000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354690000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,0.8,0.25
1713354720000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354750000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354780000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354810000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354840000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,0.8,0.25
1713354870000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713354900000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713354930000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713354960000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713354990000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355020000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355050000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355080000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355110000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355140000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355170000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355200000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355230000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713355260000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.1999999999999997,0.25
1713355290000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355320000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355350000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355380000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355410000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355440000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355470000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355500000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355530000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355560000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355590000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355620000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355650000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355680000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,3.9999999999999996,0.25
1713355710000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.8,0.25
1713355740000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.8,0.25
1713355770000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.8,0.25
1713355800000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.8,0.25
1713355830000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713355860000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713355890000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713355920000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713355950000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713355980000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713356010000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713356040000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2.4,0.25
1713356070000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.4,0.25
1713356100000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.4,0.25
1713356130000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.4,0.25
1713356160000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2.4,0.25
1713356190000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356220000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356250000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356280000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356310000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356340000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,2,0.25
1713356370000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,1.6,0.25
1713356400000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,1.8,0.05,1.6,0.25
1713356430000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713356460000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356490000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356520000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356550000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356580000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356610000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356640000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356670000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356700000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356730000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356760000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356790000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,3.1999999999999997,0.25
1713356820000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713356850000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713356880000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713356910000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.6,0.25
1713356940000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,1.2000000000000002,0.25
1713356970000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2,0.25
1713357000000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2,0.25
1713357030000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2,0.25
1713357060000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2,0.25
1713357090000,0.1,0.075,0,0.2,0.25,0.15000000000000002,0.1,0.9,0.05,2,0.25
