"Time","Memory Requested","Memory Used"
1713353880000,8751192448,7981858816
1713353910000,8751192448,7955501056
1713353940000,8751192448,7959674880
1713353970000,8751192448,7954845696
1713354000000,8751192448,7961669632
1713354030000,8751192448,7962103808
1713354060000,10751192448,7979425792
1713354090000,10751192448,8957935616
1713354120000,10751192448,9191317504
1713354150000,10751192448,9264652288
1713354180000,10751192448,9270013952
1713354210000,10751192448,9297747968
1713354240000,10751192448,9263513600
1713354270000,10751192448,9290321920
1713354300000,10751192448,9288138752
1713354330000,10751192448,9286488064
1713354360000,10751192448,9275633664
1713354390000,10751192448,9275600896
1713354420000,10751192448,9290575872
1713354450000,10751192448,9293209600
1713354480000,10751192448,9295273984
1713354510000,10751192448,9338900480
1713354540000,10751192448,9329049600
1713354570000,10751192448,9334497280
1713354600000,10751192448,9344327680
1713354630000,10751192448,9367597056
1713354660000,10751192448,9350533120
1713354690000,10751192448,9347903488
1713354720000,8751192448,9265971200
1713354750000,8751192448,9264308224
1713354780000,8751192448,9262166016
1713354810000,8751192448,9278152704
1713354840000,8751192448,9458225152
1713354870000,13951192448,9721344000
1713354900000,13951192448,11436662784
1713354930000,13951192448,13797785600
1713354960000,13951192448,15023742976
1713354990000,24351192448,14579200000
1713355020000,24351192448,16522518528
1713355050000,24351192448,19720577024
1713355080000,24351192448,22588116992
1713355110000,24351192448,22642987008
1713355140000,24351192448,23114502144
1713355170000,24351192448,23284908032
1713355200000,24351192448,23593357312
1713355230000,24351192448,23784472576
1713355260000,26351192448,24371081216
1713355290000,31551192448,25078865920
1713355320000,31551192448,25395847168
1713355350000,31551192448,25628229632
1713355380000,31551192448,25798152192
1713355410000,31551192448,25640071168
1713355440000,31551192448,26542960640
1713355470000,31551192448,27737575424
1713355500000,31551192448,28765093888
1713355530000,31551192448,29245009920
1713355560000,31551192448,29617434624
1713355590000,31551192448,29509763072
1713355620000,31551192448,29255921664
1713355650000,31551192448,29291651072
1713355680000,31551192448,29332754432
1713355710000,23751192448,29388296192
1713355740000,23751192448,29263503360
1713355770000,23751192448,29515542528
1713355800000,21751192448,29252284416
1713355830000,19151192448,29322731520
1713355860000,19151192448,29677780992
1713355890000,19151192448,28860510208
1713355920000,19151192448,28676808704
1713355950000,19151192448,28914003968
1713355980000,19151192448,24511737856
1713356010000,19151192448,24469667840
1713356040000,19151192448,24273121280
1713356070000,21151192448,23187886080
1713356100000,21151192448,21225259008
1713356130000,21151192448,22103384064
1713356160000,21151192448,21867118592
1713356190000,18551192448,21928574976
1713356220000,18551192448,21975891968
1713356250000,18551192448,21957316608
1713356280000,18551192448,21988663296
1713356310000,18551192448,22087503872
1713356340000,18551192448,22124482560
1713356370000,15951192448,22118330368
1713356400000,15951192448,22167183360
1713356430000,13951192448,22347964416
1713356460000,24351192448,19175751680
1713356490000,24351192448,21212934144
1713356520000,24351192448,24051662848
1713356550000,24351192448,26841489408
1713356580000,24351192448,27618758656
1713356610000,24351192448,28356247552
1713356640000,24351192448,26054950912
1713356670000,24351192448,26252386304
1713356700000,24351192448,25249624064
1713356730000,24351192448,25265057792
1713356760000,24351192448,25157181440
1713356790000,24351192448,25253982208
1713356820000,13951192448,25114443776
1713356850000,13951192448,24934899712
1713356880000,13951192448,24952295424
1713356910000,13951192448,24783417344
1713356940000,11351192448,24953372672
1713356970000,16551192448,25225379840
1713357000000,16551192448,26714656768
1713357030000,16551192448,29160337408
1713357060000,16551192448,29626494976
1713357090000,16551192448,20091510784
1713357120000,16551192448,20177793024
1713357150000,16551192448,20017987584
1713357180000,16551192448,20511952896
1713357210000,24351192448,18770980864
1713357240000,24351192448,19696857088
1713357270000,24351192448,21382754304
1713357300000,24351192448,24577564672
1713357330000,24351192448,24986099712
1713357360000,24351192448,25111822336
1713357390000,24351192448,24985055232
1713357420000,24351192448,24993918976
1713357450000,24351192448,24921305088
1713357480000,24351192448,24878936064
1713357510000,24351192448,24740605952
1713357540000,24351192448,24555216896
1713357570000,11351192448,25229426688
1713357600000,11351192448,25145376768
1713357630000,11351192448,25024708608
1713357660000,11351192448,25073065984
1713357690000,11351192448,25115037696
1713357720000,11351192448,25059045376
1713357750000,13351192448,25014456320
1713357780000,13351192448,25563353088
1713357810000,13351192448,26224517120
1713357840000,13351192448,14602620928
1713357870000,10751192448,14754349056
1713357900000,10751192448,14770774016
1713357930000,10751192448,14786715648
1713357960000,10751192448,14820782080
1713357990000,10751192448,14814855168
1713358020000,10751192448,14934204416
1713358050000,10751192448,14945660928
1713358080000,10751192448,15124869120
1713358110000,13351192448,15384633344
1713358140000,13351192448,12951547904
1713358170000,13351192448,14328819712
1713358200000,13351192448,14542041088
1713358230000,13351192448,14969364480
1713358260000,13351192448,15063097344
1713358290000,13351192448,15115022336
1713358320000,13351192448,15186759680
1713358350000,13351192448,15465472000
1713358380000,11351192448,15253598208
1713358410000,11351192448,15522111488
1713358440000,11351192448,15509868544
1713358470000,11351192448,15105191936
1713358500000,11351192448,15055720448
1713358530000,11351192448,14812684288
1713358560000,11351192448,14787268608
1713358590000,11351192448,14822461440
1713358620000,11351192448,14888902656
1713358650000,11351192448,13678776320
1713358680000,11351192448,13708623872
1713358710000,11351192448,13679525888
1713358740000,11351192448,13496131584
1713358770000,8751192448,13445672960
1713358800000,8751192448,13636071424
1713358830000,10751192448,14005637120
1713358860000,10751192448,15253512192
1713358890000,10751192448,15782039552
1713358920000,10751192448,15660843008
1713358950000,10751192448,15816404992
1713358980000,10751192448,15855902720
1713359010000,10751192448,15815827456
1713359040000,10751192448,13174403072
1713359070000,10751192448,13177933824
1713359100000,10751192448,12433887232
1713359130000,10751192448,12432343040
1713359160000,10751192448,12631064576
1713359190000,13351192448,12725837824
1713359220000,13351192448,12701900800
1713359250000,13351192448,13484204032
1713359280000,13351192448,14874193920
1713359310000,13351192448,14924476416
1713359340000,13351192448,14913982464
1713359370000,13351192448,14885101568
1713359400000,13351192448,14853197824
1713359430000,13351192448,14838185984
1713359460000,13351192448,14851358720
1713359490000,13351192448,14841704448
1713359520000,13351192448,14804914176
1713359550000,13351192448,14802092032
1713359580000,10751192448,14772035584
1713359610000,10751192448,14766284800
1713359640000,10751192448,14763499520
1713359670000,10751192448,14728523776
1713359700000,10751192448,14748090368
1713359730000,10751192448,14757367808
1713359760000,10751192448,14767751168
1713359790000,10751192448,14790594560
1713359820000,10751192448,14769385472
1713359850000,10751192448,12627984384
1713359880000,10751192448,12633190400
1713359910000,10751192448,12645675008
1713359940000,10751192448,12631846912
1713359970000,10751192448,12618924032
1713360000000,10751192448,12639010816
1713360030000,10751192448,12652883968
1713360060000,10751192448,12649734144
1713360090000,10751192448,12650213376
1713360120000,10751192448,12637696000
1713360150000,10751192448,12621500416
1713360180000,10751192448,12615983104
1713360210000,10751192448,12607942656
1713360240000,10751192448,12623245312
1713360270000,10751192448,12519313408
1713360300000,15951192448,12944818176
1713360330000,15951192448,14341324800
1713360360000,15951192448,16444461056
1713360390000,15951192448,17636155392
1713360420000,26351192448,18285170688
1713360450000,26351192448,20731535360
1713360480000,26351192448,25662447616
1713360510000,26351192448,26332753920
1713360540000,31551192448,26420252672
1713360570000,31551192448,26843181056
1713360600000,31551192448,26999537664
1713360630000,31551192448,27083067392
1713360660000,29551192448,27964022784
1713360690000,29551192448,30020431872
1713360720000,29551192448,32843210752
1713360750000,29551192448,34044948480
1713360780000,31551192448,35026223104
1713360810000,31551192448,35191189504
1713360840000,31551192448,35425255424
1713360870000,31551192448,36178116608
1713360900000,31551192448,35556913152
1713360930000,31551192448,34317467648
1713360960000,31551192448,34332401664
1713360990000,31551192448,34356637696
1713361020000,31551192448,33913483264
1713361050000,31551192448,33753124864
1713361080000,31551192448,33392234496
1713361110000,31551192448,33230856192
1713361140000,26351192448,33293750272
1713361170000,26351192448,33352359936
1713361200000,24351192448,33417338880
1713361230000,21751192448,33306603520
1713361260000,21751192448,33924243456
1713361290000,26951192448,33784987648
1713361320000,26951192448,34064265216
1713361350000,26951192448,36720713728
1713361380000,26951192448,37549395968
1713361410000,26951192448,33423024128
1713361440000,26951192448,33088892928
1713361470000,26951192448,31977275392
1713361500000,26951192448,29607116800
1713361530000,26951192448,29909364736
1713361560000,26951192448,29925629952
1713361590000,26951192448,29952921600
1713361620000,26951192448,29861486592
1713361650000,21751192448,29576376320
1713361680000,21751192448,29589192704
1713361710000,21751192448,29764612096
1713361740000,21751192448,29869596672
1713361770000,21751192448,29988319232
1713361800000,21751192448,29995446272
1713361830000,16551192448,29891358720
1713361860000,16551192448,29885546496
1713361890000,24351192448,29468766208
1713361920000,29551192448,25241800704
1713361950000,29551192448,24935960576
1713361980000,29551192448,24995479552
1713362010000,29551192448,25356169216
1713362040000,29551192448,25502670848
1713362070000,29551192448,28367294464
1713362100000,29551192448,26799874048
1713362130000,29551192448,30526345216
1713362160000,29551192448,30401175552
1713362190000,29551192448,31016919040
1713362220000,29551192448,31055405056
1713362250000,29551192448,31280570368
1713362280000,29551192448,31396503552
1713362310000,29551192448,31450329088
1713362340000,21751192448,30976827392
1713362370000,21751192448,31038312448
1713362400000,16551192448,30864125952
1713362430000,16551192448,31043936256
1713362460000,18551192448,31048663040
1713362490000,18551192448,31340269568
1713362520000,18551192448,32112427008
1713362550000,15951192448,32711684096
1713362580000,21151192448,32972062720
1713362610000,23751192448,26519834624
1713362640000,23751192448,26353467392
1713362670000,23751192448,21879828480
1713362700000,23751192448,21463056384
1713362730000,23751192448,21567037440
1713362760000,23751192448,21336739840
1713362790000,23751192448,21865451520
1713362820000,23751192448,19648065536
1713362850000,23751192448,21866201088
1713362880000,23751192448,23943802880
1713362910000,31551192448,25160351744
1713362940000,31551192448,27596079104
1713362970000,31551192448,29286133760
1713363000000,31551192448,32266289152
1713363030000,31551192448,32559419392
1713363060000,31551192448,32436174848
1713363090000,31551192448,32336232448
1713363120000,31551192448,32298315776
1713363150000,31551192448,32219922432
1713363180000,31551192448,32138973184
1713363210000,31551192448,31969177600
1713363240000,26351192448,31983288320
1713363270000,15951192448,31778881536
1713363300000,15951192448,31803777024
1713363330000,15951192448,31867777024
1713363360000,15951192448,31901716480
1713363390000,15951192448,31952011264
1713363420000,15951192448,31958437888
1713363450000,15951192448,32049356800
1713363480000,15951192448,31930236928
1713363510000,15951192448,27632795648
1713363540000,13351192448,18266103808
1713363570000,10751192448,18295611392
1713363600000,10751192448,18267463680
1713363630000,10751192448,18239180800
1713363660000,10751192448,18318831616
1713363690000,10751192448,18428223488
1713363720000,10751192448,18515345408
1713363750000,10751192448,18713124864
1713363780000,13351192448,18843561984
1713363810000,13351192448,16381673472
1713363840000,13351192448,14148943872
1713363870000,13351192448,15012990976
1713363900000,13351192448,15275364352
1713363930000,13351192448,15275810816
1713363960000,13351192448,15483637760
1713363990000,13351192448,15262732288
