"Time","gitaly","gitlab-exporter","gitlab-shell","kas","minio","prometheus","registry","sidekiq","toolbox","webservice","postgresql","redis"
1713353880000,716058624,55169024,51068928,39010304,25407488,1226477568,55078912,1327792128,1327104,4237934592,206602240,39931904
1713353940000,715493376,55177216,50954240,39944192,25407488,1226764288,55091200,1328742400,1327104,4238385152,182358016,40030208
1713354000000,714711040,55181312,51027968,40550400,25407488,1226121216,54886400,1331277824,1327104,4242948096,177602560,40628224
1713354060000,715026432,55164928,51810304,40816640,25407488,1226141696,54894592,1336410112,1327104,4239028224,192905216,40493056
1713354120000,715198464,56070144,51138560,40759296,25374720,1259413504,55123968,2514665472,1327104,4242296832,188579840,41369600
1713354180000,714833920,55164928,50937856,41041920,25374720,1259802624,55148544,2555514880,1327104,4240437248,227266560,43163648
1713354240000,714321920,55169024,50221056,40808448,25374720,1250181120,55250944,2565804032,1327104,4235489280,227446784,42119168
1713354300000,715100160,55177216,51617792,40833024,25403392,1250193408,55259136,2578026496,1327104,4240441344,231088128,43671552
1713354360000,715108352,55169024,52105216,41213952,25403392,1250721792,55156736,2569682944,1327104,4241047552,225947648,42749952
1713354420000,715247616,55177216,50491392,40960000,25436160,1250729984,55164928,2591105024,1327104,4236627968,226443264,41865216
1713354480000,715964416,55169024,50769920,39579648,25436160,1250758656,54996992,2591428608,1327104,4235661312,231776256,42405888
1713354540000,715177984,55173120,51687424,40030208,25436160,1250770944,55009280,2585513984,1327104,4238393344,268316672,42213376
1713354600000,715177984,55169024,50655232,38563840,25436160,1257418752,55037952,2592604160,1327104,4238503936,271458304,42975232
1713354660000,715235328,55173120,51544064,38748160,25444352,1257660416,55046144,2599768064,1327104,4236509184,271392768,42684416
1713354720000,717344768,55169024,50679808,38240256,25440256,1258459136,54943744,1335459840,1327104,4235411456,187715584,43196416
1713354780000,715776000,55173120,50937856,38514688,25440256,1258467328,54992896,1330511872,1327104,4234891264,192561152,40988672
1713354840000,717963264,55173120,50139136,39206912,25440256,1258491904,55140352,1327640576,1327104,4392255488,232075264,40787968
1713354900000,717787136,55177216,50618368,39243776,25374720,1258803200,55128064,1329221632,1327104,6338023424,262197248,41177088
1713354960000,856940544,55169024,50044928,39399424,25436160,1317273600,55152640,1332535296,1327104,9671008256,313528320,43343872
1713355020000,848728064,55201792,50401280,39542784,25436160,1317474304,55250944,1330753536,1327104,12378521600,373420032,46460928
1713355080000,848568320,55209984,50462720,38035456,25452544,1340698624,55259136,1333006336,1327104,18404798464,388554752,46743552
1713355140000,817586176,55189504,50089984,39251968,25452544,1368309760,55021568,1334480896,1327104,18864316416,456994816,46481408
1713355200000,818167808,55197696,50724864,39739392,25518080,1385955328,55107584,1331036160,1327104,19307302912,476467200,46813184
1713355260000,883425280,55193600,50880512,39800832,25518080,1386647552,55111680,1340571648,1327104,19935444992,550428672,46731264
1713355320000,919969792,55185408,50036736,40660992,25518080,1411915776,55119872,1451646976,1327104,20775759872,554102784,54603776
1713355380000,878579712,55185408,50593792,40747008,25509888,1412501504,55250944,1456926720,1327104,21188939776,578039808,54550528
1713355440000,877789184,55152640,50651136,39120896,25518080,1418829824,55144448,1953611776,1327104,21442269184,569901056,53645312
1713355500000,880619520,55152640,50823168,39530496,25526272,1427017728,55214080,2668789760,1327104,22933594112,571936768,55562240
1713355560000,862953472,55164928,50491392,37294080,25526272,1440571392,55222272,2700005376,1327104,23750983680,581627904,56266752
1713355620000,865615872,55164928,50880512,37302272,25526272,1441255424,55107584,2608070656,1327104,23459602432,599547904,56520704
1713355680000,847138816,56008704,50466816,38797312,25526272,1420550144,55111680,2606592000,1327104,23608385536,566267904,56582144
1713355740000,850001920,55160832,50356224,39862272,25559040,1426706432,55148544,2611712000,1327104,18789486592,451903488,56578048
1713355800000,852262912,55156736,49979392,39141376,25550848,1409085440,55173120,1337520128,1327104,18823630848,439590912,55537664
1713355860000,841314304,55123968,50819072,39174144,25550848,1409105920,55250944,1333104640,1327104,16608358400,429907968,54910976
1713355920000,840777728,55123968,50831360,39772160,25550848,1383608320,55529472,1332637696,1327104,15623409664,439721984,54685696
1713355980000,840777728,55119872,50544640,39788544,25550848,1396768768,55341056,1332764672,1327104,16309530624,425234432,54857728
1713356040000,818176000,55123968,50675712,36073472,25550848,1367293952,55341056,1335848960,1331200,16104681472,444006400,54886400
1713356100000,816218112,55132160,50618368,37462016,25550848,1377980416,55361536,1730600960,1331200,16559706112,460029952,55267328
1713356160000,815828992,55132160,50348032,37593088,25452544,1413136384,55357440,2536902656,1331200,16358199296,460857344,56979456
1713356220000,815906816,55128064,50106368,37625856,25452544,1413611520,55185408,2590978048,1331200,13669838848,437153792,57057280
1713356280000,814837760,55132160,50470912,36786176,25419776,1420218368,55185408,2594742272,1331200,13660479488,450277376,57266176
1713356340000,815185920,55128064,50548736,38076416,25419776,1420230656,55296000,2586644480,1331200,13778255872,474578944,57270272
1713356400000,815009792,55123968,50446336,37777408,25419776,1420242944,55300096,2599407616,1331200,11050266624,444182528,57536512
1713356460000,998305792,55119872,50184192,37797888,25419776,1420247040,55353344,1342316544,1331200,10619817984,467230720,55169024
1713356520000,896106496,55123968,50511872,38522880,25419776,1420275712,55353344,1336872960,1331200,15564779520,504397824,55508992
1713356580000,906993664,55119872,50868224,38866944,25419776,1495138304,55369728,1334779904,1331200,19040440320,510730240,56242176
1713356640000,966983680,55132160,50356224,38215680,25419776,1577938944,55373824,1331757056,1331200,20103073792,533786624,56745984
1713356700000,1086767104,55123968,50282496,38215680,25419776,1578524672,55582720,1334521856,1331200,20430290944,537309184,56254464
1713356760000,982753280,55988224,50548736,38952960,25452544,1479610368,55586816,1334321152,1331200,20537757696,538701824,56176640
1713356820000,1096970240,55123968,50610176,38952960,25452544,1479757824,55246848,1332191232,1331200,11398615040,432373760,56086528
1713356880000,1104039936,55128064,50253824,39968768,25452544,1481486336,55246848,1338990592,1331200,11318149120,334483456,56033280
1713356940000,1111224320,55123968,50364416,39989248,25452544,1481506816,55304192,1332260864,1331200,8598052864,337940480,55476224
1713357000000,1104613376,55123968,50061312,39251968,25452544,1481523200,55308288,1335062528,1331200,10336231424,365940736,55410688
1713357060000,1150943232,55119872,50368512,39391232,25452544,1481588736,55410688,1333788672,1331200,13202968576,364593152,56193024
1713357120000,1097601024,55119872,50397184,39854080,25452544,1488224256,55422976,1334349824,1331200,12883578880,372944896,55902208
1713357180000,1475522560,55115776,50868224,39878656,25452544,1488474112,55451648,1336217600,1331200,12807012352,402898944,56115200
1713357240000,1210421248,55123968,50642944,37892096,25419776,1488498688,55291904,1335611392,1331200,14953668608,427360256,55595008
1713357300000,1160679424,55119872,51085312,38559744,25452544,1488568320,55046144,1334390784,1331200,19894370304,416526336,56434688
1713357360000,1113034752,55115776,50204672,40067072,25452544,1606070272,55181312,1333968896,1331200,20343558144,431554560,56283136
1713357420000,1224531968,55123968,50245632,40120320,25518080,1606545408,55390208,1335484416,1331200,20095012864,447918080,56696832
