"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712906760000,550518784,1962463232,4625850368,5633372160,1029033984
1712906790000,550649856,1950896128,4623269888,5650628608,1029033984
1712906820000,550584320,1949880320,4653977600,5652242432,1029033984
1712906850000,550551552,1951436800,4614529024,5653049344,1029066752
1712906880000,550420480,1951178752,4667195392,5650436096,1029066752
1712906910000,551198720,1956057088,4623753216,5626695680,1029033984
1712906940000,550776832,1955831808,4673622016,5698981888,1029033984
1712906970000,550809600,1956352000,4655616000,5626470400,1029033984
1712907000000,550842368,1956671488,4645486592,5625147392,1029324800
1712907030000,550776832,1963679744,4644003840,5655662592,1029324800
1712907060000,550617088,1963945984,4660068352,5627408384,1029341184
1712907090000,550584320,1961373696,4635746304,5672824832,1029341184
1712907120000,550617088,1960267776,4637102080,5669220352,1029341184
1712907150000,550699008,2015076352,4642521088,5662502912,1029373952
1712907180000,550924288,2015891456,4686356480,5691404288,1029373952
1712907210000,550666240,2016464896,4668551168,5697114112,1029341184
1712907240000,550666240,2017148928,4666228736,5686534144,1029341184
1712907270000,550633472,2022051840,4677083136,5692436480,1029308416
1712907300000,550567936,2021793792,4631441408,5718016000,1029373952
1712907330000,550666240,2019213312,4637085696,5683920896,1029341184
1712907360000,550699008,2018910208,5517619200,5704306688,1029349376
1712907390000,550535168,2020188160,5689319424,5701468160,1029365760
1712907420000,550633472,2020712448,5910212608,5734027264,1029365760
1712907450000,550666240,1943220224,5722681344,5688823808,1029623808
1712907480000,550764544,1942671360,5725032448,5677445120,1029398528
1712907510000,550924288,1944219648,5685936128,5679833088,1029365760
1712907540000,550924288,1943445504,5681258496,5627674624,1029365760
1712907570000,550957056,1950294016,5685420032,5668704256,1029398528
1712907600000,550957056,1949995008,5730709504,5668704256,1029140480
1712907630000,550957056,1945362432,5669777408,5659639808,1029107712
1712907660000,550666240,1945055232,5706936320,5706153984,1029107712
1712907690000,550600704,1996824576,6052921344,5947785216,1033093120
1712907720000,550989824,1996333056,6322298880,5949239296,1423507456
1712907750000,556400640,2196791296,6632714240,6585319424,2561617920
1712907780000,624869376,2203607040,6597390336,6556385280,3001659392
1712907810000,635846656,2213154816,6446784512,6454689792,2720083968
1712907840000,635523072,2213289984,6366715904,6373842944,2714923008
1712907870000,637124608,2313449472,6347059200,6326751232,2714664960
1712907900000,636862464,2316279808,6411939840,6320934912,2714406912
1712907930000,637091840,2313007104,6359416832,6356090880,2714406912
1712907960000,637124608,2313060352,6398554112,6399926272,2662055936
