"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712906760000,1194943.5999999999,588,15236,5319.4,281.6
1712906790000,1093253.8,1879.9440671194566,15509,5456.4,255.2
1712906820000,1091228,574.8,6125.4,5380,268.4
1712906850000,1026447,1590.1999999999998,6357.6,15567.8,255.2
1712906880000,1018201.3999999999,588,16475.8,15673.4,255.2
1712906910000,1090685,2798.7999999999997,6447.2,15359.4,255.2
1712906940000,1104719.4,600,6385,15044,255.2
1712906970000,1195518.2,588,5655.2,5949.2,255.2
1712907000000,1088709.2,576,5342.8,15756.4,255.2
1712907030000,1080666.6,599.2,5655.2,6233.8,255.2
1712907060000,1009745,604.8,6435.8,6346,338.2
1712907090000,1080494.8,742.5089892129445,6378.2,6281.8,255.2
1712907120000,1072477.4000000001,588,7051.6,15423.6,255.2
1712907150000,1143986.6,574.8,5851.4,15285.6,255.2
1712907180000,1180073.8,588,6052.8,5360.6,255.2
1712907210000,1128713.4000000001,588,5432,14507.6,282.4
1712907240000,1048024.7999999999,588,6307.2,6067,255.2
1712907270000,1047729.4,562.8,16603.4,15603,255.2
1712907300000,1109735.5999999999,600,15984.4,6179.6,255.2
1712907330000,1069611.8,685.2,7212.8,5415.4,268.4
1712907360000,1168912.4000000001,574.8,5923,5311.4,281.6
1712907390000,1106206.7999999998,562.8,5714.4,5275,268.4
1712907420000,1125668.2000000002,588,5343.6,15222.2,255.2
1712907450000,1050903.8,25605,6827.4,16518.4,255.2
1712907480000,970150.4,614,17006.6,24598.2,255.2
1712907510000,1088811,588,16876.4,6634.8,255.2
1712907540000,1053517.8,588,6836,5646.4,255.2
1712907570000,1187850.4000000001,588,6052.8,15008.8,255.2
1712907600000,1204221.2,574.8,6051.8,5539.6,255.2
1712907630000,1135986.5999999999,4655,14991.8,5241.8,255.2
1712907660000,1053308.8,574.8,15853.8,6454.4,268.4
1712907690000,980568,79309.6,287986.2,296262.2,619.4
1712907720000,1044766.8,79368,277755.2,276567.8,268.4
1712907750000,1625715,316778.8,626046.8,513048.6,342514
1712907780000,1727089.2,490037.8,818882.6,783257.2,325669.2
1712907810000,1203257.7999999998,156472,304971.6,304932.6,516.6
1712907840000,1096706.4,160061.2,305037,310349.4,387.2
1712907870000,1068873.4,573191,767684,813187.4,347.6
1712907900000,983980.4,550250,774379.2,749682.6,334.4
1712907930000,1083258.2000000002,587379.4,799755.8,805186.8,334.4
1712907960000,1153031,585343.4,794489.2,809809.4,308
1712907990000,1594015.6,510321.6,900519.6,805175.6,210560
1712908020000,1504013.2,478101.8,788540.2,844427.6,111349.6
1712908050000,1419870,691145.8,8099357.4,7812619.6,334.4
1712908080000,1414933.5999999999,682854,8978738.2,9023015.8,294.8
1712908110000,1098390.6,209120,113084.8,134695.4,285.2
1712908140000,1045876.4,189715.8,122240.8,123290.6,276.8
1712908170000,1084097.2,413044.8,1192497.2,687230.2,276.8
1712908200000,1130872.4,575176.2,1139696.6,1148662.2,281.6
1712908230000,1235953.5999999999,328690.80000000005,2550741.4,861617,281.6
1712908260000,1117830.6,655664.2,2988088,2960408.6,294.8
1712908290000,1088373,366756,788039.2,1704158,285.2
1712908320000,1029127.4,32003.6,76620.4,68929.2,281.6
1712908350000,1100564.4000000001,31452.800000000003,69310.8,77081.4,268.4
1712908380000,1250310.6,30531.199999999997,66487.4,77085.8,268.4
1712908410000,1157204.4,49910.2,57854.6,75928.8,276.8
1712908440000,1124797,218465.2,119030.8,118636,255.2
1712908470000,959390.2,187160.8,119650,129535.4,281.6
1712908500000,1040432.2000000001,512730,1104495.6,1089211.2,281.6
1712908530000,1140243.7999999998,518778.2,1105032.8,1083929.4,281.6
1712908560000,1109963.8,903800.4,16704215.4,15708987.6,290
1712908590000,1273695.4000000001,892726.6000000001,18048862.2,16166494.4,276.8
1712908620000,1134257.4000000001,364860.2,266768.4,281247.8,303.2
1712908650000,979247.6,362051,299725,294024.4,281.6
1712908680000,964893.4,246426.40000000002,490094.8,531052.4,268.4
1712908710000,1058737.7999999998,245258.4,512731.8,515282.6,280.4
1712908740000,1269758.5999999999,524260.19999999995,1302050.4,1278948.8,255.2
1712908770000,1251887.8,520316.4,1258750.4,1259210.6,294.8
1712908800000,1180091.8,169279.4,126137.8,126687,290
1712908830000,1138984.2,173716.8,125485.2,135830.2,268.4
1712908860000,1031986.2,174567.80000000002,133438,137057.2,276.8
1712908890000,1053470.6,172272.4,128198.6,128700,268.4
1712908920000,1053809.5999999999,440649,401895.4,434636,290
1712908950000,1147418.4000000001,436497.8,407543.2,412316.2,298.4
1712908980000,1200574.8,258481,230675.4,231290.4,268.4
1712909010000,1184104.8,259028.59999999998,220410,222370.8,268.4
1712909040000,1130764.2,266280,548881.8,539753.4,268.4
1712909070000,1028699.7999999999,273119.8,548929.2,549934.6,298.4
1712909100000,1098190.5999999999,537677.2,437142.4,421662.8,23092
1712909130000,1139064,553759.6,427159,433760.2,23779
1712909160000,1138754.5999999999,190188.8,122269.2,118523,281.6
1712909190000,1141362.8,184907.6,131858.2,132300.6,387.2
1712909220000,1162984.2,233824.6,1935143.6,660939.6,6288.2
1712909250000,1138312.4,380893.4,1939661.8,1966759.4,347.6
1712909280000,1178553.2,219838.8,702761,1133590.4,19457
1712909310000,1120090.5999999999,176798,368199.4,182445,3088.4
1712909340000,1092103.4,155776.19999999998,154486.2,172403.4,9054.6
1712909370000,1106316.8,241193.6,231128,223091.6,38333.8
1712909400000,1093437,242923.6,313740.8,220967.6,26446.4
1712909430000,1110668.8,170040.40000000002,171087.2,171651.6,285
1712909460000,1167666.8,184243.4,150276.2,183413.2,311.4
1712909490000,1151197.4000000001,205515.8,263940.4,253703.6,23813.4
1712909520000,1140220.2000000002,211962.6,254159,254675.6,23740.2
1712909550000,1128839.2,279143,205495.4,197035.6,19526.4
1712909580000,1090399.6,274695.2,205438.6,205905.8,19556.2
1712909610000,1068890.2,188551,1522811,1545562,86238.6
1712909640000,1081177,183180.6,1521824.2,1523155.6,85853.8
1712909670000,1153578.6,179197.40000000002,892579.4,881564.2,38271.4
1712909700000,1171966,177561.8,887224,880458.6,38222
1712909730000,1167735.4000000001,182425.8,144586.6,145254.2,42617
1712909760000,1074048.8,183073.2,145191.8,146958.8,42487.6
1712909790000,1069946.8,92980.6,2390017.2,2345283.4,179922.6
1712909820000,1074494.2,44666.6,2311599.6,2172679.6,183725.4
1712909850000,1190277,190200.59999999998,1247937.4,1270010.4,72658.4
1712909880000,1182106.6,181623,1258736.4,1298623.4,74339.6
1712909910000,1247841.4,186269.8,564159.8,552108.2,22907
1712909940000,1147122,183115.8,520477.8,541370.8,22740.6
1712909970000,1071413.4,189111,537570.6,568033.4,37282.8
1712910000000,1076166.6,185664.6,571379,571487.4,37811.8
1712910030000,1106717.4000000001,149949,129998.6,135151.4,480
1712910060000,1159302.4000000001,139328.8,148723.4,129902.2,374
1712910090000,1152858.8,215271.8,182433.8,188169,387.2
1712910120000,1189186.8,197983.2,190689.2,199916.8,334.4
1712910150000,1033468.6,26462.2,7070.4,23609,134695
1712910180000,1059506.2000000002,28806.2,164054.2,46159229,2958.8
1712910210000,1093211.8,19497.2,508476,99283.6,5556.8
1712910240000,1130783.2,27496.800000000003,570566.6,571614.2,7199.4
1712910270000,1182220.4000000001,23045.6,171374.2,509094.2,3976.8
1712910300000,1143323.7999999998,37449.2,181621.4,367438.6,6612
1712910330000,1030054.4,232240,172048.6,368238.2,6714.4
1712910360000,1038590.6,97408.2,56850,80605.6,430.2
1712910390000,1041297,101957.4,54018.4,81117.8,478
1712910420000,1092561,87603.59999999999,61902,92324.4,360.8
1712910450000,1176420,90297.6,52128.8,101199,438.4
1712910480000,1144650.2,139313.2,67583.8,76481.8,347.6
1712910510000,1084746.8,137656.8,85898.6,84859.2,464.8
1712910540000,1010057.6,171580.6,134723.8,124758.2,334.4
1712910570000,1003487.6,166085.8,134165.6,125071.8,451.6
1712910600000,1030351.2000000001,201016.2,122019,128891.6,364.2
1712910630000,1153063.4,194355,122917.8,131117.8,494.6
1712910660000,1217986.2,179554,149367,139980.8,8127.6
1712910690000,1180666.2,178736.19999999998,139638.2,149411.8,8237.6
1712910720000,1118403,168707.2,1412795,1393803.4,47282.4
1712910750000,1064477.2,165127.80000000002,1586231,1510002.2,47976.2
1712910780000,1050172.8,62622.799999999996,283413.6,266223.8,14935.4
1712910810000,1130008.2000000002,70885.8,276210.8,290128.8,13346.6
1712910840000,1268255,20472.4,74139.8,35115.4,5450.2
1712910870000,1191041.2,159838.2,156533.2,165352.6,12615
1712910900000,1084281.5999999999,142339.4,144094,157586,6275.4
1712910930000,981919,78332.2,349619.4,346922.2,21505.6
1712910960000,1016341,86582.6,391544,429858.6,21154
1712910990000,1058585.8,104960.20000000001,1130836.8,1526659.4,15975.2
1712911020000,1259390,99102,1472099.2,1249803.8,15822.2
1712911050000,1140375.8,110127.40000000001,1027478.8,1024140.6,13841.2
1712911080000,1108250.2,101419.79999999999,978726.6,1054789,14174.6
1712911110000,985151.2000000001,48631.799999999996,57128.4,80940.2,3550.2
1712911140000,1090018.6,61222,32039.4,76031.8,3190.2
1712911170000,1103207.2,115478.6,130200.8,162529.8,830.4
1712911200000,1212318.6,97974.8,170733.4,160996.4,504.6
1712911230000,1111110.2,149667.4,113065,101725.8,531.2
1712911260000,1134452.7999999998,149243,112709,101213.6,360.8
1712911290000,990168.8,150676.6,115688.8,114949.4,464.8
1712911320000,1121499,148828.4,100852.6,101909.8,347.6
1712911350000,1086909.2,108604.4,731700.6,234903.8,2348.6
1712911380000,1234101.4,145326.6,830560.2,955386.8,2428
1712911410000,1130246.2,87090.2,85350.4,995271.4,3303.8
1712911440000,1124096.2,80666.20000000001,1107823,657443.6,31389.6
1712911470000,995529.7999999999,72637,1070047.6,511813.8,31930.2
1712911500000,1135219,92202.79999999999,178618.4,191946.8,15388.4
1712911530000,1177893.8,90538.6,160762,186977.2,15326
1712911560000,1087062.4,166486.4,160407.2,160852.6,394
1712911590000,1199095.4000000001,168560.19999999998,179129.4,167493.2,478
1712911620000,1161057.7999999998,175816.2,197697.8,175200.8,347.6
1712911650000,1106973,175361,185433,174234.8,478
1712911680000,999377,122523.40000000001,595168.8,107205.6,3590
1712911710000,1071535.4,125985.59999999999,601967.4,99041.4,3776.6
1712911740000,1164861.6,132389,259866.2,269129.4,2765.4
1712911770000,1164191.6,106971.6,191599.4,223332.6,3024.8
1712911800000,1209071.6,87884.8,1025115.8,1044747,19951
1712911830000,1100200,64909.399999999994,956069,756900.8,21112.4
1712911860000,1061181,115138.6,844111.8,692929.8,4859.6
1712911890000,1040622.7999999999,165160.4,980014.4,981859.2,5468.8
1712911920000,1104867.2000000002,309169.4,96689.8,135441.8,308
1712911950000,1196125,493608.2,285297.6,183673.2,517.6
1712911980000,1149930.4000000001,172259.8,6289.8,110651,395.6
1712912010000,1153473.5999999999,600,6187.8,14483.4,491.2
1712912040000,1013756.4,588,7097.2,14756.4,387.2
1712912070000,1018928.2,586.8,5774.2,15603.2,517.6
1712912100000,1234307.2,586.8,5865.6,15278.6,413.6
1712912130000,1204237.6,562.8,5563.8,5161.4,521
1712912160000,1142288.6,586.8,15394,14833.8,400.4
1712912190000,974196.8,574.8,7186.4,15624.8,445.8
1712912220000,1038262,2632,15564.8,6353.6,369.2
1712912250000,1109192.4000000001,574.8,5990.4,5902.2,459
1712912280000,1150420.8,588,5655.2,14835,387.2
1712912310000,1147027.4,588,5191.2,5622.2,472.2
1712912340000,1136963.7999999998,562.8,5697,5475.8,387.2
1712912370000,1088615.5999999999,600,5975.8,15436.4,459
1712912400000,1109952.7999999998,574.8,15566.2,5984.4,387.2
1712912430000,1099387.2,588,5999.6,5257.4,462.4
1712912460000,1120382.4,588.8,15526.8,15145.4,387.2
1712912490000,1109803.8,614,5888.2,14579.8,445.8
1712912520000,1047696.8,668.2,5767.8,5607,374
1712912550000,1083044,632.8,15443.4,15271.8,459
1712912580000,1034915.7999999999,574.8,6249.2,5836.4,404
1712912610000,1069358.4,600,6777.2,15427.8,472.2
1712912640000,1124292,588,14959.8,15347.2,400.4
1712912670000,1145190.6,588,5751,5413.2,472.2
1712912700000,1095712,588,5572.4,5671.8,387.2
1712912730000,1054139.6,588,6595.6,15591.2,488.8
1712912760000,1061909.4000000001,637.8,16240.8,15811.2,400.4
1712912790000,1056684.2,574.8,6845.2,15476.2,459
1712912820000,1076268.7999999998,651,6818.8,6168.2,387.2
1712912850000,1171686,588,15779.2,6295.4,472.2
1712912880000,1133968.2,42472.600000000006,197381,39054.2,400.4
1712912910000,1065905.2,100159,358482.6,403674.6,472.2
1712912940000,1056686.5999999999,124942.2,241064.2,384251,400.4
1712912970000,1319571.6,558120.8,1053037.6,1094080,38940.6
1712913000000,1314257.2,580074.8,866822.4,1009176.8,6348.8
1712913030000,1148906.4,206758.80000000002,400192,426374.4,409.6
1712913060000,1108872.8,230578,425191.8,427301,347.6
1712913090000,1132098.4000000001,654621.4,901552.2,907915.4,406.2
