* Environment:                2k
* Environment Version:        16.2.4 `deac0811459`
* Option:                     60s_4_0rps
* Date:                       2024-04-12
* Run Time:                   1h 12m 5.95s (Start: 12:02:40 UTC, End: 13:14:46 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 97.2%

NAME                                                     | RPS | RPS RESULT       | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|-----|------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 4/s | 4.01/s (>3.20/s) | 84.51ms   | 93.83ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 4/s | 3.99/s (>0.16/s) | 226.83ms  | 257.92ms (<24000ms)  | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 4/s | 4.01/s (>3.20/s) | 97.38ms   | 110.37ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 4/s | 3.95/s (>0.64/s) | 318.40ms  | 353.12ms (<8000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 4/s | 3.98/s (>0.32/s) | 271.40ms  | 296.20ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 4/s | 3.98/s (>0.16/s) | 256.00ms  | 283.74ms (<22000ms)  | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 4/s | 3.9/s (>0.48/s)  | 507.59ms  | 570.77ms (<7000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_deploy_keys                              | 4/s | 4.01/s (>3.20/s) | 69.20ms   | 77.07ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 4/s | 3.98/s (>3.20/s) | 251.21ms  | 277.34ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 4/s | 4.0/s (>3.20/s)  | 242.83ms  | 275.96ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 4/s | 3.98/s (>3.20/s) | 79.44ms   | 216.52ms (<800ms)    | 15.89% (>99%)  | FAILED¹²
api_v4_projects_languages                                | 4/s | 4.01/s (>3.20/s) | 67.38ms   | 77.98ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 4/s | 4.0/s (>3.20/s)  | 171.37ms  | 206.21ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 4/s | 3.97/s (>1.60/s) | 273.97ms  | 322.28ms (<3500ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 4/s | 4.01/s (>3.20/s) | 141.24ms  | 166.49ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 4/s | 4.01/s (>3.20/s) | 115.79ms  | 138.50ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 4/s | 4.0/s (>3.20/s)  | 212.29ms  | 243.52ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 4/s | 4.01/s (>0.96/s) | 89.75ms   | 224.06ms (<5000ms)   | 12.44% (>99%)  | FAILED¹²
api_v4_projects_project                                  | 4/s | 4.01/s (>3.20/s) | 151.71ms  | 178.92ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines                        | 4/s | 4.01/s (>3.20/s) | 93.67ms   | 114.24ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline               | 4/s | 4.01/s (>3.20/s) | 93.39ms   | 109.28ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline_jobs          | 4/s | 3.96/s (>0.64/s) | 297.49ms  | 329.68ms (<2000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_project_services                         | 4/s | 4.01/s (>3.20/s) | 61.74ms   | 72.56ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_releases                                 | 4/s | 3.98/s (>3.20/s) | 140.53ms  | 168.01ms (<200ms)    | 100.00% (>99%) | Passed  
