* Environment:                2k
* Environment Version:        16.2.4 `deac0811459`
* Option:                     60s_10_0rps
* Date:                       2024-04-12
* Run Time:                   1h 12m 6.07s (Start: 13:29:47 UTC, End: 14:41:53 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 97.44%

NAME                                                     | RPS  | RPS RESULT        | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|-------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 10/s | 9.95/s (>8.00/s)  | 89.44ms   | 100.25ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 10/s | 9.81/s (>0.40/s)  | 235.59ms  | 266.02ms (<24000ms)  | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 10/s | 9.99/s (>8.00/s)  | 96.71ms   | 108.34ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 10/s | 9.77/s (>1.60/s)  | 323.58ms  | 361.66ms (<8000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 10/s | 9.85/s (>0.80/s)  | 268.75ms  | 288.30ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 10/s | 9.83/s (>0.40/s)  | 246.26ms  | 280.22ms (<22000ms)  | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 10/s | 9.57/s (>1.20/s)  | 530.37ms  | 567.99ms (<7000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_deploy_keys                              | 10/s | 10.01/s (>8.00/s) | 65.33ms   | 72.25ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 10/s | 9.85/s (>8.00/s)  | 232.97ms  | 263.52ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 10/s | 9.83/s (>8.00/s)  | 245.98ms  | 273.77ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 10/s | 10.01/s (>8.00/s) | 57.50ms   | 63.12ms (<800ms)     | 4.99% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 10/s | 10.0/s (>8.00/s)  | 64.72ms   | 75.64ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 10/s | 9.92/s (>8.00/s)  | 158.79ms  | 186.27ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 10/s | 9.84/s (>4.00/s)  | 259.35ms  | 287.66ms (<3500ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 10/s | 9.95/s (>8.00/s)  | 137.93ms  | 161.14ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 10/s | 9.97/s (>8.00/s)  | 108.02ms  | 122.86ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 10/s | 9.88/s (>8.00/s)  | 201.75ms  | 235.22ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 10/s | 10.0/s (>2.40/s)  | 74.65ms   | 81.74ms (<5000ms)    | 4.99% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 10/s | 9.92/s (>8.00/s)  | 147.53ms  | 173.67ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines                        | 10/s | 9.96/s (>8.00/s)  | 88.24ms   | 100.63ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline               | 10/s | 10.0/s (>8.00/s)  | 92.44ms   | 113.81ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline_jobs          | 10/s | 9.81/s (>1.60/s)  | 298.79ms  | 333.66ms (<2000ms)   | 100.00% (>99%) | Passed¹ 
