Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,40,39.73,32.00,78.81,93.23,200,101.44,100.00,99,Passed
api_v4_groups_group,40,23.24,1.60,1562.99,2850.34,24000,3017.19,100.00,20,Passed
api_v4_groups_group_subgroups,40,39.72,32.00,87.39,102.63,200,109.91,100.00,99,Passed
api_v4_groups_issues,40,16.93,6.40,2179.82,2531.04,8000,2634.72,100.00,99,Passed
api_v4_groups_merge_requests,40,39.19,3.20,298.69,381.55,17500,422.17,100.00,99,Passed
api_v4_groups_projects,40,37.61,1.60,794.74,1442.06,22000,2421.09,100.00,30,Passed
api_v4_projects,40,15.35,4.80,2360.79,3318.23,7000,4235.30,99.68,99,Passed
api_v4_projects_deploy_keys,40,39.83,32.00,60.16,71.86,200,79.73,100.00,99,Passed
api_v4_projects_issues,40,39.27,32.00,230.30,284.50,1000,322.12,100.00,99,Passed
api_v4_projects_issues_issue,40,39.08,32.00,492.16,732.34,2600,1433.30,100.00,99,Passed
api_v4_projects_issues_search,40,39.92,32.00,45.54,50.18,800,58.53,1.25,99,FAILED
api_v4_projects_languages,40,39.83,32.00,59.08,71.14,200,80.89,100.00,99,Passed
api_v4_projects_merge_requests,40,39.47,32.00,140.84,163.78,400,189.00,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,40,36.33,16.00,677.54,1041.29,3500,1960.17,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,40,39.65,32.00,126.15,144.90,200,159.86,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,40,39.65,32.00,99.82,119.90,200,131.75,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,40,39.39,32.00,197.87,228.74,400,265.74,100.00,99,Passed
api_v4_projects_merge_requests_search,40,39.86,9.60,67.33,74.70,5000,82.32,1.25,99,FAILED
