"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712906760000,30423.600000000002,6191.4,522831.2,526734,8073.2
1712906790000,29559.2,7356.971634039152,549962.8,542682.8,8046.2
1712906820000,20339.8,6185.6,526544.8,542635,8060
1712906850000,19034.2,7164.4,611925.2,614627.6,8049.8
1712906880000,28896.600000000002,6198.6,625241.8,598766,8047.4
1712906910000,19666.6,8334.2,625081.8,593218,8044
1712906940000,29577.800000000003,6216.2,590725.2,534538.4,8048.6
1712906970000,30918.2,6201,531528.4,527106.4,8045.6
1712907000000,30332,6191.8,504758,529390.2,8045.8
1712907030000,20090.8,6225,542804.6,607241,8044.2
1712907060000,38398.2,6228.4,617930,612482.2,8124.4
1712907090000,19943,6296.843787455054,612697.4,596708.4,8047.6
1712907120000,29720,6203.8,639538.4,567015.4,8046.4
1712907150000,30421.6,6180.8,537362.6,507703,8048.8
1712907180000,21331.2,6190.8,521517,515826.4,8044.2
1712907210000,20455.2,6203.4,489226.6,549916.4,8057.2
1712907240000,19681.6,6198,575031.6,623149.4,8046
1712907270000,38949.2,6190.6,615304.6,636098.2,8044.4
1712907300000,29623.8,6225,631012,591270.8,8050.6
1712907330000,19983.6,6244.2,639712,526731,8056.8
1712907360000,30285.6,6195,537782.8,505497.8,8076.6
1712907390000,30036.199999999997,6204.2,510800.6,537673.4,8062.2
1712907420000,39287.4,6226.4,489362.8,604125.6,8047
1712907450000,29765,29933.4,581291.2,638242.4,8049.2
1712907480000,28703,6216.2,636742.2,622412,8046
1712907510000,30244.399999999998,6195.2,642233.8,656003,8047.8
1712907540000,19604.2,6204.8,650151.4,532649.8,8046.8
1712907570000,21196.4,6198.2,521819.6,534788.2,8046
1712907600000,21683.2,6179.6,516405.6,516523,8047.6
1712907630000,29736.800000000003,10061,502404.4,516670.6,8037
1712907660000,39702.8,6191.6,572186.6,623851.6,8058.2
1712907690000,40506.4,558052.6,875589.6,892146.2,8215.2
1712907720000,21877,564447.7999999999,883905.8,872872,8195
1712907750000,185012.40000000002,901960.6000000001,1568044.6,1364849.8,131368.4
1712907780000,227462.6,1471349,1761477.8,1655003.6,121512.4
1712907810000,22661.6,615141.7999999999,819270.2,787389,8489.2
1712907840000,22423.8,624439.4,806985.8,778816,8425.4
1712907870000,48725.8,1848772.5999999999,1174410.8,1232175.8,8372.6
1712907900000,30657.399999999998,1768718,1203937.2,1234398.4,8357
1712907930000,39631.2,1731568.2000000002,1305286.4,1338384.2,8355.8
1712907960000,32756.6,1728039,1276153.4,1235190,8331.8
1712907990000,248759.80000000002,1543251.2,1680923.6,1568250.4,79515.4
1712908020000,249282.4,1493058,1446317.6,1445923,45285.8
1712908050000,377818.6,16227240.2,1744983.8,1555189.8,8366.6
1712908080000,404597,18282578.599999998,1781657.8,1911610.6,8322.2
1712908110000,31226.4,263574.39999999997,615997,699443.8,8311.4
1712908140000,39281.8,243171.19999999998,628802,731393,8302.2
1712908170000,40023.4,1615964.2,1483287.8,1154700.4,8299.8
1712908200000,32043.4,2404463.2,1468694.2,1417043,8306.8
1712908230000,24381.199999999997,1940267.6,845051,803208.6,8306.4
1712908260000,22061.2,5640166.2,868029.2,871099.8,8322.2
1712908290000,24847.6,3149344.6,861444.6,786353,8309
1712908320000,33743.6,124186.2,640843.2,676592.2,8308
1712908350000,24338.800000000003,123591.4,642235.4,651458.8,8288.4
1712908380000,27111.8,122427.20000000001,536548.6,573035.2,8291.8
1712908410000,25266.6,141157.80000000002,558839.2,538778.6,8303.4
1712908440000,51043,284309.2,643581.4,585703.6,8280
1712908470000,30991.600000000002,254288.6,728992.2,662860.6,8309.8
1712908500000,533980.4,1762930.5999999999,1341592.2,1358970.2,8308.6
1712908530000,545490,1767005.6,1313789,1323848,8305.2
1712908560000,32526.8,32545431,948492.6,991212.6,8316.8
1712908590000,33891,32476470,966538,908280.4,8300.2
1712908620000,22745.8,613872,837170.4,812746.6,8325
1712908650000,49322.799999999996,610178.8,950562.8,906454,8306.8
1712908680000,31155.6,1056017.8,1096257.2,1140043.2,8292
1712908710000,22119.199999999997,1054821.4,1098101.4,1103934.2,8306.8
1712908740000,41513,2587038.4,971105.6,1023593.6,8278.6
1712908770000,32338.4,2599681.4,966499.4,939691.6,8320.4
1712908800000,26625.6,257666.59999999998,587399,587950,8317
1712908830000,34530.6,261471.19999999998,608064.4,649596.2,8290.8
1712908860000,33863,262161,701161,681984,8303.6
1712908890000,34218.4,259573.59999999998,701096.2,710326.8,8293.2
1712908920000,57363.4,872933.4,898764.6,834921,8316.8
1712908950000,75945.40000000001,869342.6,872266.4,847673,8323.8
1712908980000,31777.800000000003,474377.6,699586.4,710548,8292.6
1712909010000,31811.4,475699,675754.2,681939.2,8293.2
1712909040000,31696.4,1115353.6,661019.6,691881.6,8297
1712909070000,30270,1122152.5999999999,741945.6,727030.8,8324.4
1712909100000,31117.600000000002,961551.2,1321564,1279445,22963.4
1712909130000,22171.4,983541.2,1259694.8,1281201.4,23072.6
1712909160000,22126.4,260115.2,616263,662209.2,8368
1712909190000,31662.2,268905.8,613596.8,683690.6,8471.4
1712909220000,623539.4,1285072.2,1745213.4,982661,12917.2
1712909250000,774081.2000000001,3196657.6,1735156.8,1719816.8,8463.6
1712909280000,99775.40000000001,1654524.8,791590.4,1207948.8,928865
1712909310000,138955,265121.6,887009,894571.8,192514.6
1712909340000,76308.79999999999,233160,727105.4,898522.4,15170.2
1712909370000,52334.4,427480,727901.4,737603.6,38139
1712909400000,36447,428754.6,702725.2,778997.6,28924.6
1712909430000,122639.4,257196.80000000002,891870.6,907400.8,8585.4
1712909460000,115505.40000000001,270788.8,863070.8,887983,8615
1712909490000,44662.600000000006,344065.8,851317.2,794805.2,180256.4
1712909520000,44035.799999999996,350557.6,827035.8,838186.4,182112.8
1712909550000,30585.6,410955,708330.2,707618.2,21565.6
1712909580000,48385,408302.60000000003,730452.6,730667.2,21654.8
1712909610000,25819.4,273275.2,944862.4,968710.6,2795341.4
1712909640000,34983.8,268935.8,969368,949383.6,2792708.4
1712909670000,1485756.8,266111.6,5125589.8,5109447.2,35266.4
1712909700000,1494866.2000000002,264050.60000000003,5082489.6,5097978,35281.8
1712909730000,56717.4,268211.6,657599.8,663887.8,34242.4
