"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,2,2,8,8,4
1712647590000,2,2,8,8,4
1712647620000,2,2,8,8,4
1712647650000,2,2,8,8,4
1712647680000,2,2,8,8,4
1712647710000,2,2,8,8,4
1712647740000,2,2,8,8,4
1712647770000,2,2,8,8,4
1712647800000,2,2,8,8,4
1712647830000,2,2,8,8,4
1712647860000,2,2,8,8,4
1712647890000,2,2,8,8,4
1712647920000,2,2,8,8,4
1712647950000,2,2,8,8,4
1712647980000,2,2,8,8,4
1712648010000,2,2,8,8,4
1712648040000,2,2,8,8,4
1712648070000,2,2,8,8,4
1712648100000,2,2,8,8,4
1712648130000,2,2,8,8,4
1712648160000,2,2,8,8,4
1712648190000,2,2,8,8,4
1712648220000,2,2,8,8,4
1712648250000,2,2,8,8,4
1712648280000,2,2,8,8,4
1712648310000,2,2,8,8,4
1712648340000,2,2,8,8,4
1712648370000,2,2,8,8,4
1712648400000,2,2,8,8,4
1712648430000,2,2,8,8,4
1712648460000,2,2,8,8,4
1712648490000,2,2,8,8,4
1712648520000,2,2,8,8,4
1712648550000,2,2,8,8,4
1712648580000,2,2,8,8,4
1712648610000,2,2,8,8,4
1712648640000,2,2,8,8,4
1712648670000,2,2,8,8,4
1712648700000,2,2,8,8,4
1712648730000,2,2,8,8,4
1712648760000,2,2,8,8,4
1712648790000,2,2,8,8,4
1712648820000,2,2,8,8,4
1712648850000,2,2,8,8,4
1712648880000,2,2,8,8,4
1712648910000,2,2,8,8,4
1712648940000,2,2,8,8,4
1712648970000,2,2,8,8,4
1712649000000,2,2,8,8,4
1712649030000,2,2,8,8,4
1712649060000,2,2,8,8,4
1712649090000,2,2,8,8,4
1712649120000,2,2,8,8,4
1712649150000,2,2,8,8,4
1712649180000,2,2,8,8,4
1712649210000,2,2,8,8,4
1712649240000,2,2,8,8,4
1712649270000,2,2,8,8,4
1712649300000,2,2,8,8,4
1712649330000,2,2,8,8,4
1712649360000,2,2,8,8,4
1712649390000,2,2,8,8,4
1712649420000,2,2,8,8,4
1712649450000,2,2,8,8,4
1712649480000,2,2,8,8,4
1712649510000,2,2,8,8,4
1712649540000,2,2,8,8,4
1712649570000,2,2,8,8,4
1712649600000,2,2,8,8,4
1712649630000,2,2,8,8,4
1712649660000,2,2,8,8,4
1712649690000,2,2,8,8,4
1712649720000,2,2,8,8,4
1712649750000,2,2,8,8,4
1712649780000,2,2,8,8,4
1712649810000,2,2,8,8,4
1712649840000,2,2,8,8,4
1712649870000,2,2,8,8,4
1712649900000,2,2,8,8,4
1712649930000,2,2,8,8,4
1712649960000,2,2,8,8,4
1712649990000,2,2,8,8,4
1712650020000,2,2,8,8,4
1712650050000,2,2,8,8,4
1712650080000,2,2,8,8,4
1712650110000,2,2,8,8,4
1712650140000,2,2,8,8,4
1712650170000,2,2,8,8,4
1712650200000,2,2,8,8,4
1712650230000,2,2,8,8,4
1712650260000,2,2,8,8,4
1712650290000,2,2,8,8,4
1712650320000,2,2,8,8,4
1712650350000,2,2,8,8,4
1712650380000,2,2,8,8,4
1712650410000,2,2,8,8,4
1712650440000,2,2,8,8,4
1712650470000,2,2,8,8,4
1712650500000,2,2,8,8,4
1712650530000,2,2,8,8,4
1712650560000,2,2,8,8,4
1712650590000,2,2,8,8,4
1712650620000,2,2,8,8,4
1712650650000,2,2,8,8,4
1712650680000,2,2,8,8,4
1712650710000,2,2,8,8,4
1712650740000,2,2,8,8,4
1712650770000,2,2,8,8,4
1712650800000,2,2,8,8,4
1712650830000,2,2,8,8,4
1712650860000,2,2,8,8,4
1712650890000,2,2,8,8,4
1712650920000,2,2,8,8,4
1712650950000,2,2,8,8,4
1712650980000,2,2,8,8,4
1712651010000,2,2,8,8,4
1712651040000,2,2,8,8,4
1712651070000,2,2,8,8,4
1712651100000,2,2,8,8,4
1712651130000,2,2,8,8,4
1712651160000,2,2,8,8,4
1712651190000,2,2,8,8,4
1712651220000,2,2,8,8,4
1712651250000,2,2,8,8,4
1712651280000,2,2,8,8,4
1712651310000,2,2,8,8,4
1712651340000,2,2,8,8,4
1712651370000,2,2,8,8,4
1712651400000,2,2,8,8,4
1712651430000,2,2,8,8,4
1712651460000,2,2,8,8,4
1712651490000,2,2,8,8,4
1712651520000,2,2,8,8,4
1712651550000,2,2,8,8,4
1712651580000,2,2,8,8,4
1712651610000,2,2,8,8,4
1712651640000,2,2,8,8,4
1712651670000,2,2,8,8,4
1712651700000,2,2,8,8,4
1712651730000,2,2,8,8,4
1712651760000,2,2,8,8,4
1712651790000,2,2,8,8,4
1712651820000,2,2,8,8,4
1712651850000,2,2,8,8,4
1712651880000,2,2,8,8,4
1712651910000,2,2,8,8,4
1712651940000,2,2,8,8,4
1712651970000,2,2,8,8,4
1712652000000,2,2,8,8,4
1712652030000,2,2,8,8,4
1712652060000,2,2,8,8,4
1712652090000,2,2,8,8,4
1712652120000,2,2,8,8,4
1712652150000,2,2,8,8,4
1712652180000,2,2,8,8,4
1712652210000,2,2,8,8,4
1712652240000,2,2,8,8,4
1712652270000,2,2,8,8,4
1712652300000,2,2,8,8,4
1712652330000,2,2,8,8,4
1712652360000,2,2,8,8,4
1712652390000,2,2,8,8,4
1712652420000,2,2,8,8,4
1712652450000,2,2,8,8,4
1712652480000,2,2,8,8,4
1712652510000,2,2,8,8,4
1712652540000,2,2,8,8,4
1712652570000,2,2,8,8,4
1712652600000,2,2,8,8,4
1712652630000,2,2,8,8,4
1712652660000,2,2,8,8,4
1712652690000,2,2,8,8,4
1712652720000,2,2,8,8,4
1712652750000,2,2,8,8,4
1712652780000,2,2,8,8,4
1712652810000,2,2,8,8,4
1712652840000,2,2,8,8,4
1712652870000,2,2,8,8,4
1712652900000,2,2,8,8,4
1712652930000,2,2,8,8,4
1712652960000,2,2,8,8,4
1712652990000,2,2,8,8,4
1712653020000,2,2,8,8,4
1712653050000,2,2,8,8,4
1712653080000,2,2,8,8,4
1712653110000,2,2,8,8,4
1712653140000,2,2,8,8,4
1712653170000,2,2,8,8,4
1712653200000,2,2,8,8,4
1712653230000,2,2,8,8,4
1712653260000,2,2,8,8,4
1712653290000,2,2,8,8,4
1712653320000,2,2,8,8,4
1712653350000,2,2,8,8,4
1712653380000,2,2,8,8,4
1712653410000,2,2,8,8,4
1712653440000,2,2,8,8,4
1712653470000,2,2,8,8,4
1712653500000,2,2,8,8,4
1712653530000,2,2,8,8,4
1712653560000,2,2,8,8,4
1712653590000,2,2,8,8,4
1712653620000,2,2,8,8,4
1712653650000,2,2,8,8,4
1712653680000,2,2,8,8,4
1712653710000,2,2,8,8,4
1712653740000,2,2,8,8,4
1712653770000,2,2,8,8,4
1712653800000,2,2,8,8,4
1712653830000,2,2,8,8,4
1712653860000,2,2,8,8,4
1712653890000,2,2,8,8,4
1712653920000,2,2,8,8,4
1712653950000,2,2,8,8,4
1712653980000,2,2,8,8,4
1712654010000,2,2,8,8,4
1712654040000,2,2,8,8,4
1712654070000,2,2,8,8,4
1712654100000,2,2,8,8,4
1712654130000,2,2,8,8,4
1712654160000,2,2,8,8,4
1712654190000,2,2,8,8,4
1712654220000,2,2,8,8,4
1712654250000,2,2,8,8,4
1712654280000,2,2,8,8,4
1712654310000,2,2,8,8,4
1712654340000,2,2,8,8,4
1712654370000,2,2,8,8,4
1712654400000,2,2,8,8,4
1712654430000,2,2,8,8,4
1712654460000,2,2,8,8,4
1712654490000,2,2,8,8,4
1712654520000,2,2,8,8,4
1712654550000,2,2,8,8,4
1712654580000,2,2,8,8,4
1712654610000,2,2,8,8,4
1712654640000,2,2,8,8,4
1712654670000,2,2,8,8,4
1712654700000,2,2,8,8,4
1712654730000,2,2,8,8,4
1712654760000,2,2,8,8,4
1712654790000,2,2,8,8,4
1712654820000,2,2,8,8,4
1712654850000,2,2,8,8,4
1712654880000,2,2,8,8,4
1712654910000,2,2,8,8,4
1712654940000,2,2,8,8,4
1712654970000,2,2,8,8,4
1712655000000,2,2,8,8,4
1712655030000,2,2,8,8,4
1712655060000,2,2,8,8,4
1712655090000,2,2,8,8,4
1712655120000,2,2,8,8,4
1712655150000,2,2,8,8,4
1712655180000,2,2,8,8,4
1712655210000,2,2,8,8,4
1712655240000,2,2,8,8,4
1712655270000,2,2,8,8,4
1712655300000,2,2,8,8,4
1712655330000,2,2,8,8,4
1712655360000,2,2,8,8,4
1712655390000,2,2,8,8,4
1712655420000,2,2,8,8,4
1712655450000,2,2,8,8,4
1712655480000,2,2,8,8,4
1712655510000,2,2,8,8,4
1712655540000,2,2,8,8,4
1712655570000,2,2,8,8,4
1712655600000,2,2,8,8,4
1712655630000,2,2,8,8,4
1712655660000,2,2,8,8,4
1712655690000,2,2,8,8,4
1712655720000,2,2,8,8,4
1712655750000,2,2,8,8,4
1712655780000,2,2,8,8,4
1712655810000,2,2,8,8,4
1712655840000,2,2,8,8,4
1712655870000,2,2,8,8,4
