"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,972779520,1883701248,5598552064,4754169856,1008082944
1712647590000,972197888,1876058112,5657628672,4732686336,1007648768
1712647620000,971681792,1875529728,5614166016,4777873408,1007534080
1712647650000,973238272,1876819968,5629665280,4803121152,1007534080
1712647680000,972308480,1875197952,5655752704,4804202496,1007534080
1712647710000,972316672,1875648512,5676642304,4792098816,1007566848
1712647740000,972546048,1875423232,5688590336,4822220800,1007534080
1712647770000,972173312,1881165824,5659144192,4746358784,1007849472
1712647800000,972386304,1880825856,5640245248,4802564096,1009319936
1712647830000,972410880,1867526144,5645664256,4802392064,1009287168
1712647860000,972378112,1868464128,5749227520,4796022784,1009319936
1712647890000,971911168,1868689408,5727866880,4844130304,1008545792
1712647920000,972029952,1869463552,5741182976,4783620096,1008513024
1712647950000,972386304,1910005760,5714157568,4787179520,1008513024
1712647980000,971386880,1909993472,5734309888,4856152064,1008578560
1712648010000,971628544,1914331136,5771227136,4791996416,1008545792
1712648040000,972386304,1913839616,5779083264,4844470272,1008578560
1712648070000,971862016,1914691584,5773090816,4848472064,1008578560
1712648100000,970846208,1914056704,5713743872,4801523712,1008545792
1712648130000,971014144,1918926848,5790085120,4820844544,1008320512
1712648160000,971186176,1918185472,5745668096,4798201856,1008320512
1712648190000,970862592,1921282048,5789892608,4867244032,1008287744
1712648220000,971345920,1920241664,5844557824,4837376000,1008287744
1712648250000,971231232,1867132928,5756780544,4829343744,1008320512
1712648280000,971694080,1867661312,5825081344,4837343232,1008287744
1712648310000,971837440,1867616256,5825572864,4886573056,1008254976
1712648340000,971014144,1869746176,5858680832,4813578240,1008320512
1712648370000,970997760,1871110144,5818867712,4820803584,1008287744
1712648400000,970747904,1870520320,5849481216,4844335104,1008254976
1712648430000,971661312,1866350592,5823500288,4863152128,1008320512
1712648460000,971145216,1865318400,5880705024,4872536064,1008287744
1712648490000,971403264,1867415552,5822451712,4869181440,1008287744
1712648520000,971968512,1867702272,5865340928,4865785856,1008320512
1712648550000,971919360,1867972608,5858848768,4875866112,1008320512
1712648580000,971096064,1868513280,5859299328,4869423104,1008320512
1712648610000,971411456,1863544832,5836914688,4889640960,1008287744
1712648640000,1160626176,1863770112,5822222336,4866007040,1008254976
1712648670000,1760227328,1867423744,5883613184,4874223616,1008320512
1712648700000,2189463552,1868312576,5853327360,4909432832,1008418816
1712648730000,2073784320,1867464704,5869023232,4854607872,1008386048
1712648760000,2013220864,1867464704,5895434240,4911284224,1008418816
1712648790000,1845366784,1867431936,5862088704,4844879872,1008418816
1712648820000,1830694912,1867231232,5904338944,4851953664,1008451584
1712648850000,1830379520,1867415552,5866000384,4904935424,1008418816
1712648880000,1830187008,1867681792,5888192512,4886904832,1008418816
1712648910000,1830236160,1914552320,5889961984,4874612736,1008193536
1712648940000,1830068224,1911685120,5926821888,4905144320,1008160768
1712648970000,1830227968,1915027456,5923745792,4888547328,1008160768
1712649000000,1830236160,1912930304,5888430080,4889022464,1008193536
1712649030000,1829670912,1917624320,5906391040,4933988352,1008193536
1712649060000,1829470208,1918308352,5916680192,4875284480,1008160768
1712649090000,1829961728,1921953792,5898690560,4887941120,1008193536
1712649120000,1827708928,1924366336,5966049280,4915388416,1008193536
1712649150000,1826967552,1926139904,5910900736,4866768896,1008160768
1712649180000,1826512896,1924034560,5936287744,4867506176,1008128000
1712649210000,1826701312,1868918784,5972987904,4872192000,1008193536
1712649240000,1826295808,1869193216,5905813504,4949057536,1008160768
1712649270000,1826451456,1869602816,5966106624,5048750080,1008193536
1712649300000,1826934784,1870241792,5895958528,5929111552,1008160768
1712649330000,1826885632,1871466496,5934735360,6211829760,1008193536
1712649360000,1826344960,1871003648,5944049664,6126338048,1008193536
1712649390000,1826676736,1867636736,5910061056,6151372800,1008160768
