"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,998893,574.8,15418.2,16516.6,265.6
1712647590000,1013056.6,574.8,6334,16914.4,278.8
1712647620000,1048167.4,574.8,5271,6988.8,278.8
1712647650000,1231770.8,601.2,5081.4,15196,278.8
1712647680000,898681.6,588,15477.6,7807,278.8
1712647710000,896201.4,562.8,6882.8,15208.8,278.8
1712647740000,1329115,588,14956.2,23766.2,278.8
1712647770000,896783,574.8,15441.2,7760.6,278.8
1712647800000,1321327,588,4969.8,5929.4,274
1712647830000,898632.7999999999,615.2,5339.4,7432.8,265.6
1712647860000,898551.6,601.2,26481.2,5607.8,278.8
1712647890000,1326100,562.8,14434.8,5795.6,278.8
1712647920000,899199.4,588,5772.4,8043.8,295.6
1712647950000,897454.4,574.8,7241.6,14269.6,292.8
1712647980000,1323877.6,574.8,5301.6,25379.6,265.6
1712648010000,974294.4,588,6919.2,16741.8,278.8
1712648040000,1324785.8,562.8,15163.4,6245,278.8
1712648070000,899187.4,576,7442.4,6382.6,265.6
1712648100000,1324435,574.8,5454.8,5553.8,265.6
1712648130000,1223068.4,574.8,14979.4,15898.8,287.2
1712648160000,905771.7999999999,586.8,16967.2,16038.6,278.8
1712648190000,940967,588,7051.8,7536.2,265.6
1712648220000,977857.6,588,17183,7182.2,278.8
1712648250000,1309983.8,574.8,5439,15076.6,278.8
1712648280000,1326592.8,574.8,14885.8,14937.8,265.6
1712648310000,894485,588,11659.2,25154.6,265.6
1712648340000,896795.4,613.2,5310.4,5767.2,278.8
1712648370000,1283953.8,588,5928.4,7360.6,278.8
1712648400000,907412.6,574.8,7502,7027.4,274
1712648430000,1311593.2000000002,588,5381.2,7549.4,287.2
1712648460000,1325131.7999999998,588,14901.8,6842.8,278.8
1712648490000,1316963.2,574.8,5358.6,14943,265.6
1712648520000,923716.4,574.8,17344.6,24673.6,278.8
1712648550000,1255748.4000000001,574.8,15412.4,17058,278.8
1712648580000,1266102.4,588,14888.8,5851.8,278.8
1712648610000,992552,562.8,5659.6,16954.4,278.8
1712648640000,896683,588,7858.4,5858,278.8
1712648670000,1326054.2000000002,601.2,5810.4,16408.4,287.2
1712648700000,1304209.4000000001,574.8,15584.6,5598.2,265.6
1712648730000,1294404.2,588,25274.2,7161.2,295.6
1712648760000,896624.6,588,7912,5308,265.6
1712648790000,1327170.4000000001,588,5659.6,5393,265.6
1712648820000,896850,588,17943.4,7334.6,265.6
1712648850000,897521,574.8,5910.8,14961.2,278.8
1712648880000,1324856,576,5711.6,7461.8,278.8
1712648910000,984414,576,6618.8,5681.2,265.6
1712648940000,896810.6,591.6,5286.8,14874.4,295.6
1712648970000,1319384.6,574.8,5718,5156.2,278.8
1712649000000,899528,576,7378.4,17123.2,279.6
1712649030000,896896.6,601.2,5596.4,5480,260.8
1712649060000,893484.6,588,7024.8,16351.2,278.8
1712649090000,898664.4,586.8,16951,14789.4,265.6
1712649120000,1329095.4,588,5726.4,24315.6,278.8
1712649150000,893966.8,576,7226.8,7441.8,278.8
1712649180000,978511.4,588,15942.6,15369,278.8
1712649210000,1326739.2,1449.2,15046.2,15348.8,278.8
1712649240000,896809.6,588,7343.6,7730.6,278.8
1712649270000,1327086,586.8,15197.4,5538.2,287.2
1712649300000,895452.8,574.8,7446.8,7622.2,278.8
1712649330000,1329763.8,574.8,15425,15152,278.8
1712649360000,894797.8,574.8,17596.6,7595.8,278.8
1712649390000,894757.2,574.8,7807.8,5486.2,265.6
1712649420000,1330228.8,574.8,15151.2,15664.2,278.8
1712649450000,1313048.4,574.8,14851.8,3762664.8,278.8
1712649480000,894529.2,576,5576,7545.4,278.8
1712649510000,896684.4,588,7508,5451,265.6
1712649540000,1326311.2,588,15134.2,14877.6,292
1712649570000,894794.4,588,7500.8,7545,278.8
1712649600000,894794.3999999999,588,10233.4,5430.6,265.6
1712649630000,1012750.6,588,6864,16431.8,274
1712649660000,1246795.2,588,5602,16082.2,265.6
1712649690000,1220298.4000000001,574.8,5914.4,5556.2,278.8
1712649720000,1243712.6,574.8,5534,15357,265.6
1712649750000,1091425.2,574.8,5955.4,15258.2,278.8
1712649780000,980891,588,6634.4,6285.8,292
1712649810000,994117.4,562.8,15826.2,16571.6,252.4
1712649840000,1082991,601.2,15819.2,6679.6,278.8
1712649870000,1238084.4,574.8,5254,6734.2,278.8
1712649900000,1166758,600,6398.6,5498.8,278.8
1712649930000,1147842.7999999998,6126.400000000001,6568.6,14690.6,287.2
1712649960000,1024332.2,588,6954.6,14859.4,278.8
1712649990000,1018314.4,707,6181.8,5822.8,278.8
1712650020000,1070378,588,15931.6,25979.2,278.8
1712650050000,1155490.2,664.2,5496.4,6711.8,278.8
1712650080000,1168387.6,588,6300.8,15423.8,265.6
