Name,RPS,RPS Result,RPS Threshold,TTFB Avg (ms),TTFB P90 (ms),TTFB P90 Threshold (ms),TTFB P95 (ms),Req Status,Req Status Threshold,Result
api_v4_groups,24,23.75,19.20,79.26,84.21,200,113.21,100.00,99,Passed
api_v4_groups_group,24,18.78,0.96,1024.23,1767.99,24000,1954.64,100.00,20,Passed
api_v4_groups_group_subgroups,24,23.86,19.20,85.15,98.81,200,103.67,100.00,99,Passed
api_v4_groups_issues,24,19.7,3.84,1087.73,1251.05,8000,1287.92,100.00,99,Passed
api_v4_groups_merge_requests,24,23.49,1.92,229.79,258.61,17500,268.47,100.00,99,Passed
api_v4_groups_projects,24,23.18,0.96,409.18,1019.36,22000,1172.55,100.00,30,Passed
api_v4_projects,24,17.59,2.88,1213.71,1855.65,7000,2115.28,100.00,99,Passed
api_v4_projects_deploy_keys,24,23.92,19.20,58.88,65.92,200,74.20,100.00,99,Passed
api_v4_projects_issues,24,23.56,19.20,206.23,230.98,1000,242.93,100.00,99,Passed
api_v4_projects_issues_issue,24,23.59,19.20,229.80,243.61,2600,269.36,100.00,99,Passed
api_v4_projects_issues_search,24,23.98,19.20,45.22,46.24,800,56.54,2.08,99,FAILED
api_v4_projects_languages,24,23.92,19.20,59.16,63.78,200,68.55,100.00,99,Passed
api_v4_projects_merge_requests,24,23.67,19.20,139.74,162.37,400,189.56,100.00,99,Passed
api_v4_projects_merge_requests_merge_request,24,23.49,9.60,251.40,269.85,3500,314.87,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_commits,24,23.74,19.20,119.91,135.28,200,152.14,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_diffs,24,23.83,19.20,99.60,116.97,200,125.94,100.00,99,Passed
api_v4_projects_merge_requests_merge_request_discussions,24,23.6,19.20,182.46,202.19,400,216.64,100.00,99,Passed
api_v4_projects_merge_requests_search,24,23.91,5.76,64.92,73.52,5000,83.78,2.08,99,FAILED
api_v4_projects_project,24,23.73,19.20,123.76,144.10,200,153.23,100.00,99,Passed
api_v4_projects_project_pipelines,24,23.86,19.20,77.10,89.35,200,93.09,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline,24,23.84,19.20,79.36,91.68,200,98.12,100.00,99,Passed
api_v4_projects_project_pipelines_pipeline_jobs,24,23.37,3.84,267.33,293.50,2000,306.30,100.00,99,Passed
api_v4_projects_project_services,24,23.94,19.20,54.89,60.67,200,64.65,100.00,99,Passed
api_v4_projects_releases,24,23.68,19.20,113.29,128.97,200,135.48,100.00,99,Passed
api_v4_projects_repository_branches,24,23.66,19.20,60.10,65.07,200,69.43,100.00,99,Passed
api_v4_projects_repository_branches_branch,24,23.8,19.20,111.87,124.81,200,134.29,100.00,99,Passed
api_v4_projects_repository_branches_search,24,23.81,19.20,60.98,67.82,200,74.08,100.00,99,Passed
api_v4_projects_repository_commits,24,23.84,19.20,105.34,120.19,200,130.49,100.00,99,Passed
api_v4_projects_repository_commits_commit,24,23.79,19.20,98.00,109.89,200,115.54,100.00,99,Passed
api_v4_projects_repository_commits_commit_diff,24,23.66,19.20,171.47,191.10,200,201.51,100.00,99,Passed
api_v4_projects_repository_compare,24,23.61,19.20,89.64,100.39,200,106.54,100.00,99,Passed
api_v4_projects_repository_files_file,24,23.8,19.20,99.67,109.62,200,117.13,100.00,99,Passed
api_v4_projects_repository_files_file_blame,24,5.42,0.19,4101.73,4739.67,35000,4865.76,100.00,15,Passed
api_v4_projects_repository_files_file_raw,24,23.8,19.20,105.06,116.19,200,125.05,100.00,99,Passed
api_v4_projects_repository_tags,24,23.78,19.20,124.07,142.84,200,169.60,100.00,99,Passed
api_v4_projects_repository_tree,24,23.81,19.20,107.71,117.47,200,126.77,100.00,99,Passed
api_v4_user,24,23.89,19.20,58.82,65.95,200,71.06,100.00,99,Passed
api_v4_users,24,23.89,19.20,72.60,82.39,300,86.20,100.00,99,Passed
git_clone,1,0.69,0.03,190.08,231.46,800,478.33,100.00,99,Passed
git_ls_remote,3,3.01,1.92,75.72,89.49,200,101.20,100.00,99,Passed
git_pull,3,3.0,1.92,114.11,159.79,400,172.84,100.00,99,Passed
web_group,3,3.0,1.92,223.39,260.29,500,328.37,100.00,99,Passed
web_group_issues,3,2.99,1.92,247.97,275.87,500,328.31,100.00,99,Passed
web_group_merge_requests,3,2.95,1.92,401.56,440.14,800,518.23,100.00,99,Passed
web_project,3,2.93,1.92,373.62,413.33,800,615.71,100.00,99,Passed
web_project_branches,3,2.84,1.92,528.06,568.76,900,710.93,100.00,99,Passed
web_project_branches_search,3,2.76,1.92,860.27,907.49,1600,984.66,100.00,99,Passed
web_project_commit,3,2.85,0.77,633.94,1776.59,3500,1899.62,100.00,99,Passed
