* Environment:                2k
* Environment Version:        16.2.3 `6a407717a9c`
* Option:                     60s_24_0rps
* Date:                       2024-04-09
* Run Time:                   1h 10m 50.35s (Start: 08:15:54 UTC, End: 09:26:44 UTC)
* GPT Version:                v2.13.0

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 24/s | 23.75/s (>19.20/s) | 79.26ms   | 84.21ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 24/s | 18.78/s (>0.96/s)  | 1024.23ms | 1767.99ms (<24000ms) | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 24/s | 23.86/s (>19.20/s) | 85.15ms   | 98.81ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 24/s | 19.7/s (>3.84/s)   | 1087.73ms | 1251.05ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 24/s | 23.49/s (>1.92/s)  | 229.79ms  | 258.61ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 24/s | 23.18/s (>0.96/s)  | 409.18ms  | 1019.36ms (<22000ms) | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 24/s | 17.59/s (>2.88/s)  | 1213.71ms | 1855.65ms (<7000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_deploy_keys                              | 24/s | 23.92/s (>19.20/s) | 58.88ms   | 65.92ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 24/s | 23.56/s (>19.20/s) | 206.23ms  | 230.98ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 24/s | 23.59/s (>19.20/s) | 229.80ms  | 243.61ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 24/s | 23.98/s (>19.20/s) | 45.22ms   | 46.24ms (<800ms)     | 2.08% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 24/s | 23.92/s (>19.20/s) | 59.16ms   | 63.78ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 24/s | 23.67/s (>19.20/s) | 139.74ms  | 162.37ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 24/s | 23.49/s (>9.60/s)  | 251.40ms  | 269.85ms (<3500ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 24/s | 23.74/s (>19.20/s) | 119.91ms  | 135.28ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 24/s | 23.83/s (>19.20/s) | 99.60ms   | 116.97ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 24/s | 23.6/s (>19.20/s)  | 182.46ms  | 202.19ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 24/s | 23.91/s (>5.76/s)  | 64.92ms   | 73.52ms (<5000ms)    | 2.08% (>99%)   | FAILED¹²
