* Environment:                2k
* Environment Version:        16.2.3 `6a407717a9c`
* Option:                     60s_10_0rps
* Date:                       2024-04-09
* Run Time:                   1h 12m 7.54s (Start: 14:04:50 UTC, End: 15:16:57 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 97.48%

NAME                                                     | RPS  | RPS RESULT        | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|-------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 10/s | 9.97/s (>8.00/s)  | 84.95ms   | 91.58ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 10/s | 9.85/s (>0.40/s)  | 218.48ms  | 247.56ms (<24000ms)  | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 10/s | 9.99/s (>8.00/s)  | 97.44ms   | 107.42ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 10/s | 9.77/s (>1.60/s)  | 307.16ms  | 341.40ms (<8000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 10/s | 9.84/s (>0.80/s)  | 260.73ms  | 282.19ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 10/s | 9.84/s (>0.40/s)  | 249.71ms  | 278.31ms (<22000ms)  | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 10/s | 9.6/s (>1.20/s)   | 536.36ms  | 576.20ms (<7000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_deploy_keys                              | 10/s | 10.0/s (>8.00/s)  | 67.28ms   | 72.71ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 10/s | 9.84/s (>8.00/s)  | 233.58ms  | 261.90ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 10/s | 9.73/s (>8.00/s)  | 233.20ms  | 266.41ms (<2600ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 10/s | 10.01/s (>8.00/s) | 60.29ms   | 84.27ms (<800ms)     | 4.99% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 10/s | 10.0/s (>8.00/s)  | 61.87ms   | 69.70ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 10/s | 9.93/s (>8.00/s)  | 159.59ms  | 183.01ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 10/s | 9.86/s (>4.00/s)  | 248.50ms  | 277.49ms (<3500ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 10/s | 9.96/s (>8.00/s)  | 135.79ms  | 152.48ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 10/s | 9.98/s (>8.00/s)  | 110.20ms  | 125.14ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 10/s | 9.88/s (>8.00/s)  | 194.00ms  | 218.99ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 10/s | 10.0/s (>2.40/s)  | 76.96ms   | 90.18ms (<5000ms)    | 4.99% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 10/s | 9.94/s (>8.00/s)  | 147.09ms  | 170.61ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines                        | 10/s | 9.95/s (>8.00/s)  | 86.16ms   | 99.78ms (<200ms)     | 100.00% (>99%) | Passed  
