* Environment:                2k
* Environment Version:        16.2.3 `6a407717a9c`
* Option:                     60s_40rps
* Date:                       2024-04-09
* Run Time:                   1h 12m 54.32s (Start: 16:58:50 UTC, End: 18:11:44 UTC)
* GPT Version:                v2.13.0

❯ Overall Results Score: 95.82%

NAME                                                     | RPS  | RPS RESULT         | TTFB AVG  | TTFB P90             | REQ STATUS     | RESULT  
---------------------------------------------------------|------|--------------------|-----------|----------------------|----------------|---------
api_v4_groups                                            | 40/s | 39.72/s (>32.00/s) | 77.61ms   | 90.64ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_groups_group                                      | 40/s | 20.95/s (>1.60/s)  | 1746.16ms | 3017.88ms (<24000ms) | 100.00% (>20%) | Passed¹ 
api_v4_groups_group_subgroups                            | 40/s | 39.7/s (>32.00/s)  | 88.56ms   | 102.29ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_groups_issues                                     | 40/s | 17.58/s (>6.40/s)  | 2091.90ms | 2425.72ms (<8000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_merge_requests                             | 40/s | 38.92/s (>3.20/s)  | 426.34ms  | 593.66ms (<17500ms)  | 100.00% (>99%) | Passed¹ 
api_v4_groups_projects                                   | 40/s | 30.98/s (>1.60/s)  | 1161.05ms | 2504.28ms (<22000ms) | 100.00% (>30%) | Passed¹ 
api_v4_projects                                          | 40/s | 14.76/s (>4.80/s)  | 2470.91ms | 3461.73ms (<7000ms)  | 99.56% (>99%)  | Passed¹ 
api_v4_projects_deploy_keys                              | 40/s | 39.83/s (>32.00/s) | 58.83ms   | 69.27ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_issues                                   | 40/s | 39.13/s (>32.00/s) | 281.23ms  | 404.12ms (<1000ms)   | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_issue                             | 40/s | 33.62/s (>32.00/s) | 927.48ms  | 1687.93ms (<2600ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_issues_search                            | 40/s | 39.92/s (>32.00/s) | 46.15ms   | 48.72ms (<800ms)     | 1.25% (>99%)   | FAILED¹²
api_v4_projects_languages                                | 40/s | 39.82/s (>32.00/s) | 59.03ms   | 70.17ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests                           | 40/s | 39.53/s (>32.00/s) | 144.59ms  | 167.56ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_merge_request             | 40/s | 29.53/s (>16.00/s) | 1118.66ms | 1959.31ms (<3500ms)  | 99.77% (>99%)  | Passed¹ 
api_v4_projects_merge_requests_merge_request_commits     | 40/s | 39.57/s (>32.00/s) | 124.79ms  | 143.33ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_diffs       | 40/s | 39.66/s (>32.00/s) | 100.77ms  | 118.42ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_merge_requests_merge_request_discussions | 40/s | 39.34/s (>32.00/s) | 193.23ms  | 219.95ms (<400ms)    | 100.00% (>99%) | Passed¹ 
api_v4_projects_merge_requests_search                    | 40/s | 39.86/s (>9.60/s)  | 63.93ms   | 70.67ms (<5000ms)    | 1.25% (>99%)   | FAILED¹²
api_v4_projects_project                                  | 40/s | 39.5/s (>32.00/s)  | 125.18ms  | 145.15ms (<200ms)    | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines                        | 40/s | 39.67/s (>32.00/s) | 79.35ms   | 93.95ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline               | 40/s | 39.64/s (>32.00/s) | 81.24ms   | 95.55ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_project_pipelines_pipeline_jobs          | 40/s | 30.01/s (>6.40/s)  | 1202.68ms | 1466.82ms (<2000ms)  | 100.00% (>99%) | Passed¹ 
api_v4_projects_project_services                         | 40/s | 39.85/s (>32.00/s) | 54.56ms   | 64.17ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_releases                                 | 40/s | 39.46/s (>32.00/s) | 120.59ms  | 144.83ms (<200ms)    | 99.95% (>99%)  | Passed  
api_v4_projects_repository_branches                      | 40/s | 39.64/s (>32.00/s) | 61.70ms   | 72.18ms (<200ms)     | 100.00% (>99%) | Passed  
api_v4_projects_repository_branches_branch               | 40/s | 39.58/s (>32.00/s) | 111.72ms  | 126.54ms (<200ms)    | 100.00% (>99%) | Passed  
