"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,37530.8,6200.4,641554.4,627357.8,8045.8
1712647590000,29225,6189.8,628352.4,614374.8,8058
1712647620000,19812.2,6191.2,515632.4,611556.2,8058
1712647650000,21760.8,6206.2,494522.6,501202.8,8056.2
1712647680000,37431,6198.2,519243.6,682563.6,8057.4
1712647710000,27920.6,6176.6,683177,496590.2,8056
1712647740000,42282,6201.6,470805,471924.6,8057.6
1712647770000,28309,6180.8,540545,682876.6,8059.6
1712647800000,32694,6197.2,468162.6,467561.8,8054.6
1712647830000,18477.6,6227.2,516419.8,645116.6,8059.8
1712647860000,38028.4,6229,688032.6,489220.8,8058.8
1712647890000,32414.8,6174,470303.4,468137,8057.6
1712647920000,38873.4,6194.2,468718.8,683517.8,8077.4
1712647950000,36598.4,6151.8,683611,469659,8059.6
1712647980000,22780,6153.2,468644.4,509939,8045.2
1712648010000,19427.6,6188.6,640600,663607.4,8058.6
1712648040000,33281.2,6163.8,470485,499646.2,8059.8
1712648070000,38114.8,6190,684144.8,575552,8042.4
1712648100000,23291.199999999997,6187,468881.8,467940.4,8047.4
1712648130000,42038.2,6194.2,473190,480902.8,8064.6
1712648160000,28726.2,6205.8,679637,549898.6,8056.4
1712648190000,19086,6223.4,656176.2,682011.8,8045.6
1712648220000,39101.2,6227,658656.6,649630,8056.4
1712648250000,32394.4,6186.4,474505,475404.8,8060
1712648280000,42023.6,6182.4,470548.4,474706.8,8044
1712648310000,19085.8,6198.6,669358.2,533923.4,8045
1712648340000,28931.800000000003,6226.2,468906.8,468370.6,8064.6
1712648370000,33119.6,6183.4,480187.8,661392.2,8056.6
1712648400000,29032.600000000002,6179,684190,672150.2,8049.4
1712648430000,23108.800000000003,6199.6,468466.8,682094.4,8066
1712648460000,33028.8,6201.2,470568.8,558962.4,8056.6
1712648490000,22990,6172.4,473865.2,469790.4,8044.4
1712648520000,28978.2,6166.8,676127.8,472777.6,8057.4
1712648550000,32580.2,6189,486919,674561.8,8061.2
1712648580000,32340.6,6203.6,497719.8,494265.8,8059.4
1712648610000,29473.600000000002,6164.4,468868.2,668925.2,8055.6
1712648640000,29634.6,6189.4,683599.6,468272.8,8059
1712648670000,33780.6,6215,468852.6,567165.4,8068.6
1712648700000,33662.6,6188,485606.2,467618.4,8045
1712648730000,52720.399999999994,6201.4,489974,656760,8077.2
1712648760000,29007,6201,684144.6,473505,8045.4
1712648790000,32939.200000000004,6201,469438.6,468372,8047.4
1712648820000,29275.6,6202,675853,683336.6,8046.6
1712648850000,29256.4,6184.2,469623,470752.4,8060.6
1712648880000,23687.6,6187.2,469332.8,683222.8,8061.4
1712648910000,19481,6168,608026.8,526896.4,8042
1712648940000,28402.800000000003,6185.2,469235.6,470599.8,8073.4
1712648970000,23082,6180.2,469523.4,468269.4,8058.8
1712649000000,38691,6182.2,684317,685630.6,8043
1712649030000,28398.199999999997,6222.4,469757,469021.8,8050.8
1712649060000,18666.199999999997,6215,661839.6,685355.8,8056.2
1712649090000,37889.6,6217.6,686521.2,470843.4,8048.6
1712649120000,42353.4,6223,469600.8,472771.2,8059.2
1712649150000,18917.6,6200,684116.8,683583.2,8057.8
1712649180000,38836.4,6211.2,631721.2,513409.4,8060
1712649210000,33003.4,7063.4,471492.2,471100.8,8059.2
1712649240000,28976.4,6216.4,684429.8,683791.4,8064
1712649270000,33037,6199,471882.2,468691.2,8066.6
1712649300000,28163.6,6188,683365.6,683154.8,8059.4
1712649330000,43065.6,6174,471994.6,471207.2,8058.6
1712649360000,19466.8,6173,687322,683803.8,8054.8
1712649390000,19373.6,6180.4,684818.8,468636.6,8044.2
1712649420000,43338.2,6176.2,471855.6,471616.6,8057.6
1712649450000,42184.2,6187,471781.6,565779.2,8058.8
1712649480000,19326.2,6183.2,469544.4,683544,8064
1712649510000,29229.8,6193,684322.2,468927.6,8046.2
1712649540000,32906,6190.2,471592.6,470813.2,8074.8
1712649570000,19144.6,6195.6,684320.8,684078.2,8059.2
1712649600000,19645.2,6186.6,470877.2,468681.8,8043.8
1712649630000,29198.600000000002,6201.4,640759.6,647797.2,8055.8
1712649660000,21725.6,6200.6,522728.2,615576.2,8050
1712649690000,22085.6,6192.6,523118,484653,8060.2
1712649720000,31551.6,6194,512190,497600,8049
1712649750000,20455,6221.8,528491.4,508298,8060.6
1712649780000,28934,6236.4,619600,597147.6,8072
1712649810000,38696.4,6213.8,584107.4,648159.4,8046.8
1712649840000,30078.4,6256,551982.4,645312.8,8065
1712649870000,30641.6,6217.8,501173,630055.2,8063
1712649900000,21376,6245,581986.8,519651.8,8061.8
1712649930000,20905.199999999997,11487.6,603443,497608.6,8072.2
1712649960000,29273.6,6185.4,636432.8,508129.8,8064.2
1712649990000,29258,6275,581782.2,570224.6,8055.8
1712650020000,39959.4,6201.2,552539.8,637090.4,8058.8
1712650050000,20649.199999999997,6234.2,512166,650898.2,8058.8
1712650080000,30688.4,6200.8,565944.4,561639.4,8051
1712650110000,30084.800000000003,8056.599999999999,616272.4,511700.6,8061.2
1712650140000,30930.2,6207.2,621678.4,505852.2,8062.8
1712650170000,19156,6187.4,624688.8,527692,8046.6
1712650200000,38383.200000000004,6201,567900.2,613465.4,8057
1712650230000,29379,6217.4,538835.6,634832.6,8058.8
1712650260000,39730.799999999996,6215.6,530190.8,640134.2,8072.2
1712650290000,49092.4,6207.8,605751.4,556548.6,8062
1712650320000,20291.4,6212.2,587318.8,591951.4,8062.8
1712650350000,29663.2,7249.6,566080.8,586646.2,8048.4
1712650380000,29322.6,6208.4,567895.4,577892.8,8061.8
1712650410000,30189,6208.8,571223.8,617770.8,8060.2
1712650440000,39255.600000000006,6206.8,560674.4,551632.4,8062
1712650470000,29519.6,6200.2,599955.8,559396.2,8064.2
1712650500000,29097.8,6209.2,608196.6,511442.8,8066.4
1712650530000,48061.2,6476.4,549849.2,561292.8,8072.6
1712650560000,22071.4,56149,561272,609101.4,9660
1712650590000,21169.4,558033.8,798062.2,871769.6,8198.2
1712650620000,31043,572442,882557.2,792591.2,8186.4
1712650650000,191308.6,1148715.6,1553848.4,1608989,140771.2
1712650680000,271146.6,1536637.4000000001,1658569.6,1716735.2,99845.2
1712650710000,21298.6,623442.6,871191,803798.8,8302
1712650740000,31707.2,624278.2,821635.2,846278.2,8314
1712650770000,21453,2034056,1261345,1306306,8304.2
1712650800000,22277,2036056.8,1256775,1328836.4,8309.2
1712650830000,41404.2,1723326.6,1326922.6,1242226.4,8350.2
1712650860000,31682.8,1721106,1309263.2,1231182.2,8329.2
1712650890000,260988.6,1526657.4,1612319.6,1587385,57303.6
1712650920000,231094.4,1497684.7999999998,1567291.6,1416171.6,45267
