"Time","Redis","PostgreSQL","rails_2","rails_1","Gitaly"
1712647560000,180,3.8,91.2,108,2.4
1712647590000,169.79999999999998,3.8,88.6,109.8,2.6
1712647620000,156,3.8,72.8,98.6,2.6
1712647650000,196.79999999999998,4.2,70,86.6,2.6
1712647680000,192.6,4,88.6,110.8,2.6
1712647710000,170.6,3.5999999999999996,96.8,85,2.6
1712647740000,262.40000000000003,4,83,91.2,2.6
1712647770000,180,3.8,90,110,2.6
1712647800000,243,4,68.4,80.4,2.6
1712647830000,146.6,4.4,73.8,105.2,2.4
1712647860000,191.6,4.2,120.4,78,2.6
1712647890000,232.4,3.5999999999999996,76.8,78.4,2.6
1712647920000,197.8,4,77.4,111.8,3
1712647950000,174.2,3.8,102.2,74.4,2.8
1712647980000,221,3.8,73.4,104.2,2.4
1712648010000,161.6,4,97.4,109.6,2.6
1712648040000,216.2,3.5999999999999996,86.2,85,2.6
1712648070000,198.6,3.8,105.2,89.8,2.4
1712648100000,229.20000000000002,3.8,75.8,77.2,2.4
1712648130000,224,3.8,83.4,94.8,2.8
1712648160000,156.4,4,113,99.2,2.6
1712648190000,144.4,4,99.4,106.6,2.4
1712648220000,182,4,111.4,101.4,2.6
1712648250000,231.6,3.8,75.4,84.8,2.6
1712648280000,225.79999999999998,3.8,82,82.8,2.4
1712648310000,164,4,110,100.8,2.4
1712648340000,181.4,4.4,73.6,78,2.6
1712648370000,241,4,79.8,104,2.6
1712648400000,182.4,3.8,106.2,99.4,2.6
1712648430000,195,4,74.6,106.8,2.8
1712648460000,220,4,82.2,93.8,2.6
1712648490000,195.6,3.8,74.2,81,2.4
1712648520000,186.6,3.8,118.6,91.8,2.6
1712648550000,218,3.8,89.8,114.2,2.6
1712648580000,212,4,83.6,79.8,2.6
1712648610000,180.6,3.5999999999999996,78.8,111.2,2.6
1712648640000,179.4,4,111.6,79.4,2.6
1712648670000,234,4.2,81,106.4,2.8
1712648700000,225.4,3.8,93.2,78,2.4
1712648730000,282.8,4,106,101,3
1712648760000,178.79999999999998,4,112.4,73.6,2.4
1712648790000,252.4,4,78.8,74.8,2.4
1712648820000,181.4,4,124.6,103.6,2.4
1712648850000,190.79999999999998,3.8,79.6,84.8,2.6
1712648880000,232.2,3.8,79.6,105.6,2.6
1712648910000,156.79999999999998,3.8,93,79,2.4
1712648940000,181.6,4.2,73.2,81.8,3
1712648970000,230.2,3.8,76.6,71.2,2.6
1712649000000,202.6,3.8,104.4,113.4,2.6
1712649030000,179,4.2,74.8,73.6,2.4
1712649060000,148.4,4,99,105.2,2.6
1712649090000,189.4,4,112.6,78.8,2.4
1712649120000,258.2,4,76.8,86.4,2.6
1712649150000,156.79999999999998,3.8,102,105.2,2.6
1712649180000,192.4,4,98,89.4,2.6
1712649210000,242,4.8,84.4,87.2,2.6
1712649240000,182.20000000000002,4,103.8,109.6,2.6
1712649270000,248.6,4,86.6,77,2.8
1712649300000,160.79999999999998,3.8,105.4,108,2.6
1712649330000,270,3.8,87,86,2.6
1712649360000,167.6,3.8,121,107.6,2.6
1712649390000,166.6,3.8,107.6,76.2,2.4
1712649420000,278,3.8,84.4,93,2.6
1712649450000,257.2,3.8,83.2,2562.2,2.6
1712649480000,166,3.8,77.6,106.8,2.6
1712649510000,177.4,4,106.2,75.6,2.4
1712649540000,240.2,4,85.8,81.8,2.8
1712649570000,168.4,4,106.2,106.8,2.6
1712649600000,168.4,4,89,75.4,2.4
1712649630000,164.4,4,96.6,104.8,2.6
1712649660000,179.4,4,77.8,99.6,2.4
1712649690000,180.20000000000002,3.8,79.4,74.8,2.6
1712649720000,197.79999999999998,3.8,76.8,89,2.4
1712649750000,163.4,3.8,80.6,89.2,2.6
1712649780000,164.2,4,93.2,88,2.8
1712649810000,183.6,3.5999999999999996,95.2,104.4,2.2
1712649840000,177.6,4.2,95.8,93.8,2.6
1712649870000,190.6,3.8,72.6,94.6,2.6
1712649900000,175.4,4.2,86.6,76.2,2.6
1712649930000,167.6,15.4,89.2,78.8,2.8
1712649960000,175.8,4,94.8,81.4,2.6
1712649990000,167,5,86.4,81,2.6
1712650020000,208.8,4,94.4,112,2.6
1712650050000,167.6,5,76.2,94.2,2.6
1712650080000,183.4,4,85.2,89.8,2.4
1712650110000,184.2,8.4,94.6,75.4,2.6
1712650140000,175.4,4,116,75,2.6
1712650170000,148.6,3.8,88.8,78.4,2.4
1712650200000,184.6,4,86.4,92.2,2.6
1712650230000,170.6,3.8,77.2,91.6,2.6
